grid_index,y,x
2277,48.8348853,2.3739199
2281,48.8350072,2.3802768
2283,48.8352923,2.38535
2284,48.8351891,2.3873395
2287,48.8352787,2.392795
2289,48.8356232,2.3970758
2290,48.8354094,2.3978772
2293,48.8350454,2.4038206
2294,48.834913,2.4054698
2295,48.8350889,2.408263
2314,48.8359601,2.2542974
2315,48.8358504,2.2557717
2316,48.8361663,2.257298
2317,48.8361567,2.2599613
2318,48.8361589,2.2609164
2319,48.8363796,2.2637382
2321,48.8365088,2.2675467
2323,48.8357923,2.2704397
2327,48.8361634,2.2783463
2328,48.8363903,2.2805733
2329,48.8361877,2.2814554
2332,48.8359462,2.2885417
2333,48.8358091,2.2896988
2334,48.8360784,2.2918382
2335,48.8359636,2.2937013
2337,48.8361469,2.297233
2338,48.8364517,2.299109
2339,48.8359527,2.3008559
2342,48.8362957,2.3066604
2344,48.8362689,2.3102899
2348,48.8358752,2.3188244
2349,48.8364921,2.3201463
2350,48.8361984,2.3221818
2351,48.8362216,2.3234901
2352,48.8361673,2.3254182
2353,48.836017,2.3276344
2358,48.8358733,2.3377495
2363,48.8360726,2.346704
2364,48.8359953,2.3484769
2365,48.8361105,2.3497241
2366,48.8358433,2.3525166
2367,48.8364135,2.3535798
2369,48.8363095,2.3580141
2370,48.8359729,2.3601021
2375,48.8356684,2.3698368
2376,48.8362129,2.3714895
2378,48.8356807,2.3753779
2383,48.8363194,2.3850482
2384,48.836057,2.3867648
2387,48.8360773,2.3921752
2388,48.8358926,2.394196
2390,48.8362971,2.3989921
2391,48.8361958,2.4003697
2393,48.8364708,2.4040676
2394,48.8358964,2.4056372
2395,48.8364456,2.4078262
2396,48.8360544,2.4089926
2397,48.8361683,2.4121414
2398,48.8362172,2.4127315
2414,48.8368099,2.2536054
2415,48.8367875,2.2556906
2417,48.8371916,2.2595867
2418,48.836909,2.2615411
2419,48.8367126,2.2629115
