grid_index,y,x
1848,51.3650013,-0.1090366
1849,51.3646718,-0.1017566
1850,51.3649636,-0.0942089
1851,51.3647212,-0.0850415
1852,51.3638548,-0.0780118
1853,51.3663658,-0.0665073
1855,51.3666482,-0.0514006
1857,51.3664979,-0.0367244
1858,51.3658635,-0.0277438
1859,51.3662613,-0.0215248
1861,51.3641068,-0.0020722
1862,51.3657806,0.0059143
1863,51.3656698,0.0139202
1864,51.3654327,0.0223291
1865,51.3653582,0.0298862
1866,51.365527,0.0384172
1867,51.3665851,0.0464626
1868,51.3652485,0.0548018
1869,51.3651475,0.0630055
1870,51.3644268,0.0706011
1871,51.3648831,0.0801019
1872,51.3650254,0.0882406
1873,51.3647114,0.0957137
1874,51.3650518,0.1045721
1875,51.3644566,0.1115663
1876,51.3662303,0.1237266
1879,51.3670937,0.1471892
1923,51.3692098,-0.3144921
1924,51.3686961,-0.3084041
1925,51.3689326,-0.2992119
1926,51.3690729,-0.2914748
1927,51.3689529,-0.2865112
1932,51.3709142,-0.2424185
1933,51.369221,-0.2335215
1934,51.3689288,-0.2258546
1935,51.3691656,-0.2170185
1936,51.3688454,-0.2093726
1937,51.368437,-0.2005827
1938,51.3691911,-0.1924357
1939,51.3686574,-0.18404
1940,51.3684528,-0.1754521
1941,51.3691313,-0.1677169
1942,51.3688797,-0.1591525
1943,51.3696501,-0.152651
1944,51.3688822,-0.1428853
1945,51.3692317,-0.1348699
1946,51.3697622,-0.1269113
1947,51.3689544,-0.1181602
1948,51.3686648,-0.1097415
1949,51.3694936,-0.1011593
1950,51.3694264,-0.0937704
1951,51.3688315,-0.0845145
1952,51.3690446,-0.0772114
1953,51.3704322,-0.0668264
1955,51.3689451,-0.0538724
1956,51.3694323,-0.0444596
1957,51.3688647,-0.0360011
1958,51.3690361,-0.0274116
1959,51.3693574,-0.0193777
1960,51.3697646,-0.0106829
1961,51.3686771,-0.0019771
1962,51.3687411,0.0052585
1963,51.368408,0.0136303
1964,51.367454,0.0232959
1965,51.3675313,0.0291816
1966,51.3692887,0.0391279
1967,51.3697048,0.0463327
1968,51.3679237,0.0565135
1969,51.3688948,0.0638579
1970,51.3690446,0.0721785
1971,51.3699943,0.0790095
1972,51.3692416,0.0872237
1973,51.3688194,0.0960501
1974,51.3691547,0.107923
1975,51.3693616,0.1127735
1976,51.3687419,0.1213225
1977,51.3699534,0.1317548
2024,51.3726613,-0.304963
2025,51.3727166,-0.2991618
2026,51.3733642,-0.2920974
2027,51.373367,-0.2870454
2028,51.3731147,-0.2740263
2032,51.373845,-0.2425175
2033,51.3731195,-0.2341598
2034,51.3727769,-0.2259638
2035,51.3735042,-0.2182474
2036,51.3724794,-0.2094436
2037,51.3730555,-0.2001401
