u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,bridge,tunnel,access,ref
360983,142361613,0,571701532,Rue Lecourbe,secondary,30,True,False,39.981,2,"LINESTRING (2.2919595 48.8392633, 2.2918024 48.8392252, 2.2914493 48.8391348)",,,,,,
360986,116147133,0,59718913,Rue de Lourmel,residential,30,True,False,142.805,,"LINESTRING (2.2855643 48.8421683, 2.2855043 48.8421032, 2.2853404 48.8419279, 2.2846646 48.8412026, 2.2846583 48.8411958, 2.2845444 48.8410734)",,,,,,
360986,116131632,0,59727176,Rue de la Convention,secondary,30,False,True,65.497,3,"LINESTRING (2.2855643 48.8421683, 2.2856454 48.8421314, 2.2861622 48.841896, 2.2862996 48.8418325)",,,,,,
360986,140145854,0,662409826,Rue de la Convention,secondary,30,False,False,183.29099999999997,3,"LINESTRING (2.2855643 48.8421683, 2.2854824 48.8422057, 2.2854292 48.84223, 2.2851527 48.8423562, 2.2850614 48.8423979, 2.2849007 48.8424712, 2.2840464 48.8428612, 2.2835785 48.8430747, 2.2835061 48.8431076)",,,,,,
360990,166450259,0,5097306,Rue Mirabeau,tertiary,30,True,False,138.18200000000002,2,"LINESTRING (2.2737147 48.8474292, 2.2732451 48.8472813, 2.2732253 48.8472748, 2.2720709 48.8469159, 2.2720086 48.8468965)",,,,,,
360990,89163134,0,13871245,Rue de l'Amiral Cloué,secondary,30,False,True,60.869,6,"LINESTRING (2.2737147 48.8474292, 2.2739266 48.84735, 2.2739599 48.8473361, 2.274133 48.8472638, 2.2742826 48.8472011, 2.2743165 48.8471869, 2.274423 48.8471424)",,,,,,
360990,34819161,0,27631897,Rue de Rémusat,tertiary,30,True,False,91.68900000000001,2,"LINESTRING (2.2737147 48.8474292, 2.2732551 48.8475356, 2.2732264 48.8475416, 2.2729011 48.8476073, 2.2727195 48.8476452, 2.2725241 48.8476858)",,,,,,
360990,29414561,0,"[451594920, 584386819, 584386820, 454665064]",Avenue de Versailles,primary,30,False,True,174.103,4,"LINESTRING (2.2737147 48.8474292, 2.2738711 48.8475772, 2.2738964 48.8476028, 2.2740055 48.8477062, 2.2740239 48.8477251, 2.2741917 48.847883, 2.2745119 48.8481918, 2.2749598 48.8486335, 2.2749879 48.8486622, 2.2750512 48.8487245)",,,,,,
360990,244455597,0,"[584386818, 34849338]",Avenue de Versailles,primary,30,False,True,169.659,4,"LINESTRING (2.2737147 48.8474292, 2.2735431 48.8472352, 2.2735097 48.8472025, 2.2733049 48.8470039, 2.2732365 48.8469359, 2.2724943 48.8462005, 2.272448 48.8461517)",,,,,,
360991,34818713,0,720196717,Avenue Théophile Gautier,tertiary,30,False,True,34.364,2,"LINESTRING (2.2699037 48.8482358, 2.2701802 48.8484856)",,,,,,
360991,14798307,0,4039125,Rue Leconte de Lisle,residential,30,True,False,111.516,1,"LINESTRING (2.2699037 48.8482358, 2.26979 48.8482646, 2.2689646 48.8484504, 2.2686349 48.8485195, 2.2684597 48.8485561)",,,,,,
360991,166452976,0,61972265,Avenue Théophile Gautier,tertiary,30,False,False,97.25200000000001,3,"LINESTRING (2.2699037 48.8482358, 2.2698299 48.8481711, 2.2694494 48.8478226, 2.2693556 48.8477404, 2.2692373 48.8476318, 2.2691208 48.8475291)",,,,,,
360995,224364902,0,5097354,Rue Erlanger,residential,30,True,False,326.2029999999999,,"LINESTRING (2.2622425 48.8479618, 2.2622142 48.8479123, 2.2619771 48.8475515, 2.2613898 48.8466662, 2.2611541 48.846311, 2.2610108 48.8460948, 2.2605477 48.8453958, 2.2605181 48.8453488, 2.2604653 48.8452715)",,,,,,
360995,989286407,0,24642293,Rue d'Auteuil,tertiary,30,True,False,66.86500000000001,1,"LINESTRING (2.2622425 48.8479618, 2.2623152 48.8479674, 2.2629922 48.8480201, 2.2631505 48.8480291)",,,,,,
360996,34818779,0,24030739,Place de la Porte d'Auteuil,primary,30,True,False,28.939,5,"LINESTRING (2.2597534 48.8479219, 2.2597505 48.8479698, 2.2597384 48.848004, 2.2597164 48.8480364, 2.2597001 48.8480593, 2.2596711 48.8480836, 2.2596464 48.8480963, 2.2596146 48.848109, 2.2595582 48.848125)",,,,,,
