osmid,y,x,street_count,highway,ref,geometry
7777402084,51.5484896,-0.3998455,3,,,POINT (-0.3998455 51.5484896)
7778265689,51.5269412,-0.0882304,3,,,POINT (-0.0882304 51.5269412)
7778265692,51.5267244,-0.0880568,3,,,POINT (-0.0880568 51.5267244)
7778265695,51.5267867,-0.0880113,3,,,POINT (-0.0880113 51.5267867)
7778265697,51.5267026,-0.0880418,3,,,POINT (-0.0880418 51.5267026)
7778679863,51.4915252,-0.1935903,1,,,POINT (-0.1935903 51.4915252)
7780894736,51.2994581,-0.1143009,3,,,POINT (-0.1143009 51.2994581)
7780894739,51.2994572,-0.1138521,3,,,POINT (-0.1138521 51.2994572)
7782404877,51.5146702,-0.0590187,3,,,POINT (-0.0590187 51.5146702)
7783220511,51.5382317,-0.298748,1,crossing,,POINT (-0.298748 51.5382317)
7783322846,51.442258,0.1004885,1,,,POINT (0.1004885 51.442258)
7783958906,51.455146,-0.1747186,1,,,POINT (-0.1747186 51.455146)
7783958955,51.452728,-0.1745988,1,,,POINT (-0.1745988 51.452728)
7783958965,51.453265,-0.1763796,1,,,POINT (-0.1763796 51.453265)
7784989704,51.4924821,0.1174122,3,,,POINT (0.1174122 51.4924821)
7784989705,51.4928086,0.1173989,1,,,POINT (0.1173989 51.4928086)
7786938123,51.4968504,-0.0332581,1,,,POINT (-0.0332581 51.4968504)
7788401116,51.6004065,-0.1089987,3,,,POINT (-0.1089987 51.6004065)
7791466511,51.4664741,-0.1624031,3,,,POINT (-0.1624031 51.4664741)
7791466539,51.4642771,-0.1635792,3,,,POINT (-0.1635792 51.4642771)
7791466561,51.4706631,-0.1522348,3,,,POINT (-0.1522348 51.4706631)
7791466594,51.4665322,-0.1517834,1,,,POINT (-0.1517834 51.4665322)
7791466596,51.4662393,-0.1516435,3,,,POINT (-0.1516435 51.4662393)
7791616212,51.5502032,0.0160056,1,,,POINT (0.0160056 51.5502032)
7791664223,51.4347715,-0.0853881,3,,,POINT (-0.0853881 51.4347715)
7794221859,51.4413976,-0.0954488,3,,,POINT (-0.0954488 51.4413976)
7794221860,51.4409081,-0.0951168,1,,,POINT (-0.0951168 51.4409081)
7794982730,51.4660278,-0.1709543,1,,,POINT (-0.1709543 51.4660278)
7796382459,51.4940572,-0.1950486,3,,,POINT (-0.1950486 51.4940572)
7797416521,51.5060791,-0.0885569,3,,,POINT (-0.0885569 51.5060791)
7797489827,51.4442458,-0.1130277,1,,,POINT (-0.1130277 51.4442458)
7798088418,51.5965039,-0.2938941,1,,,POINT (-0.2938941 51.5965039)
7798551862,51.6030516,0.0191733,3,,,POINT (0.0191733 51.6030516)
7799287296,51.5004808,0.025456,3,,,POINT (0.025456 51.5004808)
7799567407,51.5461017,-0.1479486,3,,,POINT (-0.1479486 51.5461017)
7799624278,51.5438051,-0.1402395,4,,,POINT (-0.1402395 51.5438051)
7799844009,51.545105,0.0172465,1,,,POINT (0.0172465 51.545105)
7801324991,51.4862567,-0.0919614,1,,,POINT (-0.0919614 51.4862567)
7801324994,51.4859344,-0.0917346,1,,,POINT (-0.0917346 51.4859344)
7801385739,51.4535619,-0.1469351,3,,,POINT (-0.1469351 51.4535619)
7801416246,51.4792085,-0.1054496,4,,,POINT (-0.1054496 51.4792085)
7802247577,51.585964,-0.0141287,1,,,POINT (-0.0141287 51.585964)
7802865609,51.371376,0.0236253,3,,,POINT (0.0236253 51.371376)
7802865611,51.3715563,0.0232997,1,,,POINT (0.0232997 51.3715563)
7803555427,51.4569828,-0.2676157,2,,,POINT (-0.2676157 51.4569828)
7803569901,51.5677601,0.1202847,1,,,POINT (0.1202847 51.5677601)
7803569909,51.5677074,0.1193621,1,,,POINT (0.1193621 51.5677074)
7803569910,51.5676905,0.1195443,3,,,POINT (0.1195443 51.5676905)
7803591242,51.3710855,0.0923163,1,,,POINT (0.0923163 51.3710855)
7804109925,51.4849663,-0.0987428,1,,,POINT (-0.0987428 51.4849663)
7804289839,51.5937799,-0.3458763,3,,,POINT (-0.3458763 51.5937799)
7805168693,51.5850494,-0.1154073,3,,,POINT (-0.1154073 51.5850494)
7805168694,51.5849663,-0.1152629,4,,,POINT (-0.1152629 51.5849663)
7805266901,51.5823607,-0.1191991,3,,,POINT (-0.1191991 51.5823607)
7805681174,51.5766716,-0.2879499,3,,,POINT (-0.2879499 51.5766716)
7805681175,51.5767666,-0.2882117,1,,,POINT (-0.2882117 51.5767666)
7805681176,51.576707,-0.2878418,3,,,POINT (-0.2878418 51.576707)
7805681177,51.5766407,-0.2876637,1,,,POINT (-0.2876637 51.5766407)
7806099759,51.5118759,-0.192379,2,,,POINT (-0.192379 51.5118759)
7806099760,51.5113319,-0.1921218,2,,,POINT (-0.1921218 51.5113319)
7806099761,51.5108424,-0.1919227,2,,,POINT (-0.1919227 51.5108424)
7806099770,51.5112811,-0.1921011,2,,,POINT (-0.1921011 51.5112811)
7806099772,51.5109039,-0.1919495,2,,,POINT (-0.1919495 51.5109039)
7808478329,51.4786894,0.0775747,3,,,POINT (0.0775747 51.4786894)
7808478331,51.4786874,0.0773951,3,,,POINT (0.0773951 51.4786874)
7808620381,51.4263698,-0.384524,1,,,POINT (-0.384524 51.4263698)
7808658043,51.4818326,-0.0514708,1,,,POINT (-0.0514708 51.4818326)
7808658044,51.4818358,-0.0515547,1,,,POINT (-0.0515547 51.4818358)
7812341639,51.6096229,-0.0982762,1,,,POINT (-0.0982762 51.6096229)
7812343285,51.6088319,-0.0923735,1,,,POINT (-0.0923735 51.6088319)
7812365895,51.4839782,-0.091455,1,,,POINT (-0.091455 51.4839782)
7813072163,51.6070194,-0.0914756,1,,,POINT (-0.0914756 51.6070194)
7813172553,51.6070461,-0.0977783,1,,,POINT (-0.0977783 51.6070461)
7813172554,51.6069001,-0.0976384,3,,,POINT (-0.0976384 51.6069001)
7813173955,51.5020852,0.03186,1,,,POINT (0.03186 51.5020852)
7813304427,51.4962538,-0.3094752,4,,,POINT (-0.3094752 51.4962538)
7813419493,51.4941694,-0.3079806,4,,,POINT (-0.3079806 51.4941694)
7813467116,51.5294842,-0.0872357,3,,,POINT (-0.0872357 51.5294842)
7813467118,51.5294673,-0.0873067,3,,,POINT (-0.0873067 51.5294673)
7813467119,51.529529,-0.0871777,3,,,POINT (-0.0871777 51.529529)
7813521103,51.5285056,-0.0888215,1,,,POINT (-0.0888215 51.5285056)
7814044167,51.455958,0.0132744,3,,,POINT (0.0132744 51.455958)
7814185910,51.4594178,-0.011359,1,,,POINT (-0.011359 51.4594178)
7815487128,51.5057693,-0.2181702,2,,,POINT (-0.2181702 51.5057693)
7816069537,51.3079953,-0.1139111,1,,,POINT (-0.1139111 51.3079953)
7816410654,51.5557105,-0.0793029,1,,,POINT (-0.0793029 51.5557105)
7816410662,51.5561663,-0.0790767,1,,,POINT (-0.0790767 51.5561663)
7817063681,51.5705154,-0.0797612,3,,,POINT (-0.0797612 51.5705154)
7817076209,51.5680008,-0.0811945,3,,,POINT (-0.0811945 51.5680008)
7817815665,51.5165812,-0.1744342,1,,,POINT (-0.1744342 51.5165812)
7817815666,51.5165882,-0.1744211,4,,,POINT (-0.1744211 51.5165882)
7817817316,51.5170416,-0.1750843,3,,,POINT (-0.1750843 51.5170416)
7817817317,51.5163986,-0.1741437,3,,,POINT (-0.1741437 51.5163986)
7820910220,51.4078503,-0.3004772,4,,,POINT (-0.3004772 51.4078503)
7822837813,51.431858,-0.0626457,1,,,POINT (-0.0626457 51.431858)
7822837814,51.4315383,-0.0627394,3,,,POINT (-0.0627394 51.4315383)
7824220298,51.471776,-0.3537507,3,,,POINT (-0.3537507 51.471776)
7824220301,51.4726275,-0.3544781,1,,,POINT (-0.3544781 51.4726275)
7824220304,51.4710364,-0.3530886,3,,,POINT (-0.3530886 51.4710364)
7824232752,51.3853645,-0.1609688,1,,,POINT (-0.1609688 51.3853645)
7824232754,51.3851385,-0.1621784,1,,,POINT (-0.1621784 51.3851385)
7824232756,51.3856741,-0.1621663,1,,,POINT (-0.1621663 51.3856741)
7824232761,51.3851151,-0.1609339,1,,,POINT (-0.1609339 51.3851151)
7824232763,51.3852917,-0.1611686,3,,,POINT (-0.1611686 51.3852917)
7824232764,51.3851862,-0.1618619,3,,,POINT (-0.1618619 51.3851862)
7824232766,51.3855378,-0.1620349,3,,,POINT (-0.1620349 51.3855378)
7824299567,51.4864976,0.0322897,3,,,POINT (0.0322897 51.4864976)
7824313712,51.4660041,-0.3730513,1,,,POINT (-0.3730513 51.4660041)
7824323802,51.4851979,0.0228631,3,,,POINT (0.0228631 51.4851979)
7824323804,51.4855077,0.0249206,3,,,POINT (0.0249206 51.4855077)
7824323805,51.4852228,0.0251231,1,,,POINT (0.0251231 51.4852228)
7824343854,51.4302184,-0.156632,2,,,POINT (-0.156632 51.4302184)
7824436377,51.5496194,-0.1711459,3,,,POINT (-0.1711459 51.5496194)
7824580277,51.5301585,-0.1235438,3,,,POINT (-0.1235438 51.5301585)
7824580278,51.5303173,-0.1231842,3,,,POINT (-0.1231842 51.5303173)
7824649435,51.5691596,-0.142166,3,,,POINT (-0.142166 51.5691596)
7824649436,51.5691675,-0.1421935,3,,,POINT (-0.1421935 51.5691675)
7825254540,51.3991665,-0.0411241,3,,,POINT (-0.0411241 51.3991665)
7825561903,51.3146542,-0.1470333,1,,,POINT (-0.1470333 51.3146542)
7825562204,51.3130143,-0.1476627,3,,,POINT (-0.1476627 51.3130143)
7825562330,51.3151169,-0.1471956,1,,,POINT (-0.1471956 51.3151169)
7825562332,51.3152539,-0.1468141,3,,,POINT (-0.1468141 51.3152539)
7825780988,51.4398471,-0.1712311,1,,,POINT (-0.1712311 51.4398471)
7825780989,51.4401323,-0.1718249,3,,,POINT (-0.1718249 51.4401323)
7825780990,51.4402275,-0.1721783,1,,,POINT (-0.1721783 51.4402275)
7825780996,51.4404436,-0.1716654,1,,,POINT (-0.1716654 51.4404436)
7825781001,51.4403205,-0.1711552,1,,,POINT (-0.1711552 51.4403205)
7825781004,51.439912,-0.1715153,1,,,POINT (-0.1715153 51.439912)
7825781014,51.4387643,-0.169466,1,,,POINT (-0.169466 51.4387643)
7825781015,51.4388308,-0.1693425,3,,,POINT (-0.1693425 51.4388308)
7826434477,51.5468582,-0.0048058,1,,,POINT (-0.0048058 51.5468582)
7828140483,51.5478417,0.001169,1,,,POINT (0.001169 51.5478417)
7828140484,51.5478516,0.001243,1,,,POINT (0.001243 51.5478516)
7828818154,51.3471178,-0.1674333,3,,,POINT (-0.1674333 51.3471178)
7828818194,51.3469678,-0.1678244,1,,,POINT (-0.1678244 51.3469678)
7829270618,51.4399142,-0.3781759,1,,,POINT (-0.3781759 51.4399142)
7829597703,51.5261065,-0.3837201,1,,,POINT (-0.3837201 51.5261065)
7831089930,51.5789287,0.1011897,3,,,POINT (0.1011897 51.5789287)
7831766263,51.4990734,0.0295511,1,,,POINT (0.0295511 51.4990734)
7832942824,51.5454632,-0.0633258,1,,,POINT (-0.0633258 51.5454632)
7832944141,51.5433317,-0.062419,1,,,POINT (-0.062419 51.5433317)
7832950991,51.5384826,-0.0749812,1,,,POINT (-0.0749812 51.5384826)
7832950993,51.5366041,-0.0751698,1,,,POINT (-0.0751698 51.5366041)
7833019505,51.5423638,-0.0762839,4,,,POINT (-0.0762839 51.5423638)
7833183659,51.5365558,-0.0751737,1,,,POINT (-0.0751737 51.5365558)
7833286947,51.480184,-0.2002172,1,,,POINT (-0.2002172 51.480184)
7833561231,51.5665553,-0.4484008,3,,,POINT (-0.4484008 51.5665553)
7833920809,51.5161498,-0.4690218,3,,,POINT (-0.4690218 51.5161498)
7833920819,51.5173174,-0.4641554,3,,,POINT (-0.4641554 51.5173174)
7833960241,51.5343805,-0.4522875,1,,,POINT (-0.4522875 51.5343805)
7833970875,51.5189947,-0.4674152,1,,,POINT (-0.4674152 51.5189947)
7835092921,51.499546,0.0263715,3,,,POINT (0.0263715 51.499546)
7836205183,51.5009472,-0.0758917,1,,,POINT (-0.0758917 51.5009472)
7836235485,51.5010139,-0.0758339,3,,,POINT (-0.0758339 51.5010139)
7836235487,51.5020546,-0.0775404,2,,,POINT (-0.0775404 51.5020546)
7836280842,51.4771971,-0.0731282,3,,,POINT (-0.0731282 51.4771971)
7836280852,51.4771916,-0.0731662,3,,,POINT (-0.0731662 51.4771916)
7836284355,51.5062407,-0.4645167,3,,,POINT (-0.4645167 51.5062407)
