osmid,y,x,ref,highway,street_count,geometry
42769008,40.84814,-73.8671528,,,3,POINT (-73.8671528 40.84814)
42769012,40.848703,-73.8673578,,traffic_signals,3,POINT (-73.8673578 40.848703)
42769018,40.8488743,-73.8674224,,traffic_signals,3,POINT (-73.8674224 40.8488743)
42769031,40.8524065,-73.8677566,,,4,POINT (-73.8677566 40.8524065)
42769035,40.8536605,-73.8677174,,,4,POINT (-73.8677174 40.8536605)
42769039,40.8566393,-73.8676384,,traffic_signals,4,POINT (-73.8676384 40.8566393)
42769043,40.8572541,-73.8676194,,traffic_signals,4,POINT (-73.8676194 40.8572541)
42769048,40.8578445,-73.8676056,,,3,POINT (-73.8676056 40.8578445)
42769052,40.8588971,-73.8676075,,,3,POINT (-73.8676075 40.8588971)
42769064,40.8697023,-73.8672075,,,4,POINT (-73.8672075 40.8697023)
42769073,40.874312,-73.8670528,,,3,POINT (-73.8670528 40.874312)
42769078,40.8752139,-73.8670401,,,4,POINT (-73.8670401 40.8752139)
42769085,40.8785227,-73.8655716,,,4,POINT (-73.8655716 40.8785227)
42769094,40.8791719,-73.8651947,,,4,POINT (-73.8651947 40.8791719)
42769105,40.8814433,-73.8639338,,traffic_signals,4,POINT (-73.8639338 40.8814433)
42769111,40.8828561,-73.8631662,,,3,POINT (-73.8631662 40.8828561)
42769117,40.8842567,-73.8623761,,,4,POINT (-73.8623761 40.8842567)
42769121,40.8856676,-73.8615868,,traffic_signals,4,POINT (-73.8615868 40.8856676)
42769124,40.8863639,-73.8611948,,,4,POINT (-73.8611948 40.8863639)
42769127,40.8870671,-73.8608043,,traffic_signals,4,POINT (-73.8608043 40.8870671)
42769130,40.8891917,-73.8596372,,,3,POINT (-73.8596372 40.8891917)
42769133,40.89061,-73.8588785,,traffic_signals,4,POINT (-73.8588785 40.89061)
42769135,40.8913364,-73.8584713,,traffic_signals,4,POINT (-73.8584713 40.8913364)
42769142,40.8927345,-73.8577088,,traffic_signals,4,POINT (-73.8577088 40.8927345)
42769147,40.8941458,-73.8569108,,,4,POINT (-73.8569108 40.8941458)
42769150,40.89485,-73.8565245,,,4,POINT (-73.8565245 40.89485)
42769160,40.902032,-73.8515378,,,4,POINT (-73.8515378 40.902032)
42769171,40.905722,-73.8493768,,,4,POINT (-73.8493768 40.905722)
42769194,40.864317,-73.843382,,,3,POINT (-73.843382 40.864317)
42769196,40.864281,-73.84171,,,3,POINT (-73.84171 40.864281)
42769207,40.8443247,-73.7893675,,,1,POINT (-73.7893675 40.8443247)
42769210,40.8446833,-73.7877947,,,4,POINT (-73.7877947 40.8446833)
42769214,40.8451566,-73.7857202,,,4,POINT (-73.7857202 40.8451566)
42769240,40.862825,-73.893521,,,3,POINT (-73.893521 40.862825)
42769243,40.862711,-73.893136,,,3,POINT (-73.893136 40.862711)
42769252,40.836487,-73.827231,,,3,POINT (-73.827231 40.836487)
42769255,40.836062,-73.82694,,,1,POINT (-73.82694 40.836062)
42769264,40.836699,-73.826751,,,3,POINT (-73.826751 40.836699)
42769286,40.8493125,-73.8313078,,,4,POINT (-73.8313078 40.8493125)
42769307,40.8335533,-73.8200689,,,4,POINT (-73.8200689 40.8335533)
42769309,40.8339627,-73.8183448,,,4,POINT (-73.8183448 40.8339627)
42769325,40.828646,-73.831316,,,4,POINT (-73.831316 40.828646)
42769332,40.829423,-73.829742,,,4,POINT (-73.829742 40.829423)
