Starting node index,Ending node index,Travel cost from the starting node to the ending node
710.0,711.0,0.006362552403719586
710.0,810.0,0.003830364918646998
711.0,712.0,0.003893330730870334
711.0,811.0,0.004656136374724681
712.0,713.0,0.006105469346415444
712.0,812.0,0.004056093088181131
713.0,714.0,0.005283204046792212
713.0,813.0,0.004658031387828123
714.0,715.0,0.0067721654586982444
714.0,814.0,0.005834595530111711
715.0,716.0,0.005486805263543903
715.0,815.0,0.004516954687614599
716.0,717.0,0.005408989987050876
716.0,816.0,0.00416632811958109
717.0,718.0,0.003539362411504766
717.0,817.0,0.004289335016053961
718.0,818.0,0.0031233207776265462
802.0,803.0,0.005548835243541531
802.0,902.0,0.005838098941439925
803.0,804.0,0.0034631672497878853
803.0,903.0,0.0035697721748032293
804.0,805.0,0.007563300920905677
804.0,904.0,0.004738475494288258
805.0,806.0,0.00662053807555362
805.0,905.0,0.004217500093649939
806.0,807.0,0.006765459417515492
806.0,906.0,0.003228525917497619
807.0,808.0,0.004051768705153256
807.0,907.0,0.004174125970789533
808.0,809.0,0.006504328738609207
808.0,908.0,0.004377766284305101
809.0,810.0,0.004686004374725093
809.0,909.0,0.0037092496545798465
810.0,811.0,0.006258936179587685
810.0,910.0,0.004761000555555538
811.0,812.0,0.004223311603461982
811.0,911.0,0.003973297478163929
812.0,813.0,0.0051232858411445455
812.0,912.0,0.004055339769983501
813.0,814.0,0.007178595685088365
813.0,913.0,0.004450484406214126
814.0,815.0,0.004168547906646318
814.0,914.0,0.0043127144874208385
815.0,816.0,0.006267416521186418
815.0,915.0,0.004795322642946546
816.0,817.0,0.005603380140591451
816.0,916.0,0.004693527671168254
817.0,818.0,0.004738550799548057
817.0,917.0,0.004474017207166403
818.0,819.0,0.003534652243159345
818.0,918.0,0.0037883798252030983
819.0,919.0,0.003928712972462272
902.0,903.0,0.005797781790471531
903.0,904.0,0.0041667346939749305
903.0,1003.0,0.004180009464102355
904.0,905.0,0.00786976715856327
905.0,906.0,0.004852604872653191
905.0,1005.0,0.005073115606808773
906.0,907.0,0.005368705770478407
906.0,1006.0,0.004262678005667657
907.0,908.0,0.00481494478680904
907.0,1007.0,0.0038311909375500124
908.0,909.0,0.006227005689735998
908.0,1008.0,0.004043430140361934
909.0,910.0,0.005165332718223527
909.0,1009.0,0.00479726922320853
910.0,911.0,0.006936570687302849
910.0,1010.0,0.004067219872338884
911.0,912.0,0.004723307794337991
911.0,1011.0,0.004458910769461185
912.0,913.0,0.006152123487870896
912.0,1012.0,0.004352987838255411
913.0,914.0,0.005530758314186694
913.0,1013.0,0.003834254265180415
914.0,915.0,0.006288590959026008
914.0,1014.0,0.003960416115764701
915.0,916.0,0.005071624986140188
915.0,1015.0,0.0036512452286888127
916.0,917.0,0.005443965169799038
916.0,1016.0,0.004280811254889324
917.0,918.0,0.004827386428500557
917.0,1017.0,0.0034926115973548132
918.0,919.0,0.005667200596405079
918.0,1018.0,0.004720876954555336
919.0,920.0,0.004130712559595076
919.0,1019.0,0.004381286306547262
920.0,1020.0,0.004581385887483538
1005.0,1006.0,0.004925153647350807
1005.0,1105.0,0.004298215660013089
1006.0,1007.0,0.0037790932311955647
1006.0,1106.0,0.004160670750007216
1007.0,1008.0,0.006328774557526631
1007.0,1107.0,0.004609835020908429
1008.0,1009.0,0.005945627976923222
1008.0,1108.0,0.0037278414182987996
1009.0,1010.0,0.005287964636791139
1009.0,1109.0,0.004763003120933451
1010.0,1011.0,0.00583885639487452
1010.0,1110.0,0.00410202059965888
1011.0,1012.0,0.005279700852323748
1011.0,1111.0,0.004057745861928579
1012.0,1013.0,0.00474874746643865
1012.0,1112.0,0.004370702219323834
1013.0,1014.0,0.006363629515463528
1013.0,1113.0,0.0043834896338420665
1014.0,1015.0,0.005424639477411024
1014.0,1114.0,0.004335887683043597
1015.0,1016.0,0.005306988215551328
1015.0,1115.0,0.004286556440781081
1016.0,1017.0,0.00584891690829003
1016.0,1116.0,0.0032265343202880965
1017.0,1018.0,0.0052062728510857
1017.0,1117.0,0.004364970217539346
1018.0,1019.0,0.005118653045485711
1018.0,1118.0,0.003800740059510211
1019.0,1020.0,0.004531569816295233
1019.0,1119.0,0.004082115382988451
1020.0,1120.0,0.004542086606390672
1104.0,1105.0,0.007215794688045197
1105.0,1106.0,0.003142406622315697
1105.0,1205.0,0.0026163386267839873
1106.0,1107.0,0.00584975298623673
1106.0,1206.0,0.004925990098450531
1107.0,1108.0,0.0058657924443422825
1107.0,1207.0,0.00454820174135124
1108.0,1109.0,0.005814735499570198
1108.0,1208.0,0.004666831473288575
1109.0,1110.0,0.00554240573486837
1109.0,1209.0,0.004264398091172616
1110.0,1111.0,0.005177801394427097
1110.0,1210.0,0.003798899588037161
1111.0,1112.0,0.0064090241441141955
1111.0,1211.0,0.004434900091320795
1112.0,1113.0,0.005393341073966146
1112.0,1212.0,0.0030960235787150553
1113.0,1114.0,0.00560992673391235
1113.0,1213.0,0.004013252239769227
1114.0,1115.0,0.005388778327232422
1114.0,1214.0,0.0042855504500626624
1115.0,1116.0,0.005197802258655601
1115.0,1215.0,0.0043569398664642395
1116.0,1117.0,0.00581853319316808
1116.0,1216.0,0.004969895053217627
1117.0,1118.0,0.006167179014743838
1117.0,1217.0,0.00392780867660276
1118.0,1119.0,0.004896276136005965
1118.0,1218.0,0.004631480205078065
1119.0,1120.0,0.005418833854249845
1119.0,1219.0,0.004329775282849103
1120.0,1121.0,0.003647624740841792
1120.0,1220.0,0.003205659922699362
1121.0,1221.0,0.004217781873216597
1205.0,1206.0,0.005345166227539855
1205.0,1305.0,0.007702474948354802
1206.0,1207.0,0.004997914330005757
1206.0,1306.0,0.004392270716841262
1207.0,1208.0,0.004300451846018319
1207.0,1307.0,0.0037894556614353797
1208.0,1209.0,0.007954073523054637
1208.0,1308.0,0.0038359668090260594
1209.0,1210.0,0.004850515058209771
1209.0,1309.0,0.003918475368055958
1210.0,1211.0,0.004764545797868575
1210.0,1310.0,0.003908572266183958
1211.0,1212.0,0.0057366905250405345
1211.0,1311.0,0.0038986463009602866
1212.0,1213.0,0.006276538297496541
1212.0,1312.0,0.004694970180952068
1213.0,1214.0,0.004647756985901851
1213.0,1313.0,0.004143899853999577
1214.0,1215.0,0.005335053982859481
1214.0,1314.0,0.0037047172631618774
1215.0,1216.0,0.006463251967862517
1215.0,1315.0,0.004048543935785225
1216.0,1217.0,0.004872280143834575
1216.0,1316.0,0.002926994316704569
1217.0,1218.0,0.0063011817375729605
1217.0,1317.0,0.004204025332939299
1218.0,1219.0,0.005521880249524501
1218.0,1318.0,0.004018637267783358
1219.0,1220.0,0.005096940749113571
1219.0,1319.0,0.0043968190774759195
1220.0,1221.0,0.005431855007269359
1220.0,1320.0,0.005082119645386634
1221.0,1321.0,0.004274484015644365
1225.0,1325.0,0.0029993527585142634
1258.0,1358.0,0.003805336970618527
1305.0,1306.0,0.009290705301544345
1306.0,1307.0,0.0043024688877344374
1307.0,1308.0,0.0027428464503231
1308.0,1309.0,0.0076995276452445464
1308.0,1408.0,0.0052976682606535284
1309.0,1310.0,0.005593442750226135
1309.0,1409.0,0.002660485388040769
1310.0,1311.0,0.004376503650177569
1310.0,1410.0,0.004307094728475311
1311.0,1312.0,0.006997802869471077
1312.0,1313.0,0.006254766182683669
1312.0,1412.0,0.006532182254041556
1313.0,1314.0,0.004724164793909062
1313.0,1413.0,0.0037306872838648105
1314.0,1315.0,0.006414892438685321
1314.0,1414.0,0.004702495985112836
1315.0,1316.0,0.0050365791416356115
1315.0,1415.0,0.004383188451349024
1316.0,1317.0,0.005772509337369139
