osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
141607250,48.8234137,2.31986,3,,,POINT (2.31986 48.8234137),8,49,849,48.8231846785,2.3202783664999997,0.03983217579209062
141607528,48.8229831,2.3220279,3,,,POINT (2.3220279 48.8229831),8,50,850,48.8231846785,2.3221779335,0.024961064091928272
34909807,48.8233042,2.3243729,3,,,POINT (2.3243729 48.8233042),8,51,851,48.8231846785,2.3240775005,0.025383229875827206
827009036,48.8232351,2.3256156,4,,,POINT (2.3256156 48.8232351),8,52,852,48.8231846785,2.3259770674999998,0.02705009803636091
82408990,48.8232685,2.3342543,1,,,POINT (2.3342543 48.8232685),8,56,856,48.8231846785,2.3335753355,0.05057262042300441
82409088,48.8232298,2.3355277,3,,,POINT (2.3355277 48.8232298),8,57,857,48.8231846785,2.3354749025,0.006333506541606566
247078820,48.8227916,2.3436568,3,,,POINT (2.3436568 48.8227916),8,61,861,48.8231846785,2.3430731705,0.061123046781460216
1835212516,48.8232123,2.3447688,3,,,POINT (2.3447688 48.8232123),8,62,862,48.8231846785,2.3449727375,0.015242712934588327
100291267,48.822971,2.3488677,3,,,POINT (2.3488677 48.822971),8,64,864,48.8231846785,2.3487718715,0.024774050991582124
100290177,48.8228708,2.3529541,3,,,POINT (2.3529541 48.8228708),8,66,866,48.8231846785,2.3525710054999998,0.04477399843494277
100289673,48.8231877,2.3544169,3,,,POINT (2.3544169 48.8231877),8,67,867,48.8231846785,2.3544705725,0.003943651054966948
168363582,48.8229657,2.3565767,4,,,POINT (2.3565767 48.8229657),8,68,868,48.8231846785,2.3563701394999996,0.028662994735433916
168363888,48.8230115,2.3582647,3,,,POINT (2.3582647 48.8230115),8,69,869,48.8231846785,2.3582697065,0.019260058402376986
252659002,48.8230485,2.359391,3,,,POINT (2.359391 48.8230485),8,70,870,48.8231846785,2.3601692735,0.05895457056662178
1759468556,48.8229849,2.362419,3,,,POINT (2.362419 48.8229849),8,71,871,48.8231846785,2.3620688404999997,0.033920874647087144
168356762,48.8233236,2.36572,3,traffic_signals,,POINT (2.36572 48.8233236),8,73,873,48.8231846785,2.3658679745,0.01886733424847599
15035556,48.8233044,2.3685028,3,,,POINT (2.3685028 48.8233044),8,74,874,48.8231846785,2.3677675414999997,0.05544928205773969
15035573,48.8233653,2.3709062,4,,,POINT (2.3709062 48.8233653),8,76,876,48.8231846785,2.3715666755,0.05235799015143859
15035514,48.8227768,2.3731465,3,,,POINT (2.3731465 48.8227768),8,77,877,48.8231846785,2.3734662424999997,0.05103849884592756
386594441,48.8233992,2.3750215,3,,,POINT (2.3750215 48.8233992),8,78,878,48.8231846785,2.3753658095,0.03470400423087522
15035530,48.8229654,2.377822,3,,,POINT (2.377822 48.8229654),8,79,879,48.8231846785,2.3772653765,0.04748762406024104
415140208,48.8244362,2.3046846,3,,,POINT (2.3046846 48.8244362),9,41,941,48.8240448995,2.3050818305,0.05233389470343049
277426923,48.823927,2.3069929,4,,,POINT (2.3069929 48.823927),9,42,942,48.8240448995,2.3069813975,0.013136842570614043
141603609,48.8236151,2.3084067,4,traffic_signals,,POINT (2.3084067 48.8236151),9,43,943,48.8240448995,2.3088809645,0.05907206705722691
141605425,48.8239672,2.3162686,3,,,POINT (2.3162686 48.8239672),9,47,947,48.8240448995,2.3164792325,0.01767543520645878
