u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,tunnel,access,width,junction
2705634308,5433541995,0,264914152,True,,海秀路,secondary,False,187.24499999999998,"LINESTRING (113.874047 22.5523174, 113.8744732 22.5524204, 113.8748547 22.5525058, 113.875216 22.5525726, 113.8755655 22.5526278, 113.8756092 22.5526343, 113.8758293 22.5526672)",,,,,,,
2705634308,2705654551,0,"[264916216, 1025842566]",False,,,unclassified,False,367.9759999999999,"LINESTRING (113.874047 22.5523174, 113.8740932 22.5521838, 113.8741406 22.5520399, 113.8743907 22.5512668, 113.8747036 22.5513424, 113.8750073 22.5514125, 113.8752167 22.5514548, 113.8754144 22.5514934, 113.8755687 22.5515216, 113.8757789 22.5515528, 113.8759706 22.5515778, 113.8763388 22.5516105, 113.8764596 22.5516221, 113.8766164 22.5516325, 113.8767459 22.551627)",,,,,,,
2705654512,2705654528,0,456394360,True,,海天路,secondary,False,40.314,"LINESTRING (113.8846081 22.5490153, 113.8848342 22.5488914, 113.8848643 22.5488749, 113.8849457 22.5488303)",,,,,,,
2705654512,5433542823,0,563883400,True,,,secondary_link,False,67.57,"LINESTRING (113.8846081 22.5490153, 113.8847507 22.5488983, 113.8847804 22.5488373, 113.8847835 22.5488176, 113.8847903 22.5487733, 113.8847804 22.5486849, 113.8847147 22.5484827)",,,,,,,
2705654516,2705654567,0,"[264916218, 456394357]",True,,海天路,secondary,False,561.385,"LINESTRING (113.8735801 22.5499208, 113.8729483 22.5496933, 113.8724838 22.5495005, 113.871999 22.5492793, 113.8715011 22.5490301, 113.8711793 22.5488641, 113.8711032 22.5487198, 113.8715389 22.5489695, 113.8720338 22.5492172, 113.8725161 22.5494372, 113.8729781 22.549629, 113.8734501 22.5498065)",,,,,,,
2705654522,2705654575,0,456394360,True,,海天路,secondary,False,13.066,"LINESTRING (113.8804258 22.5504064, 113.8805507 22.550384)",,,,,,,
2705654522,5433542482,0,237907186,True,,宝华路,secondary,False,55.878,"LINESTRING (113.8804258 22.5504064, 113.8804213 22.5503155, 113.8804009 22.5499044)",,,,,,,
2705654525,1169605052,0,456394357,True,,海天路,secondary,False,42.117,"LINESTRING (113.8744672 22.5501965, 113.874152 22.5501056, 113.8740751 22.5500855)",,,,,,,
2705654525,5433541992,0,563883380,True,,,secondary_link,False,73.297,"LINESTRING (113.8744672 22.5501965, 113.8743644 22.55018, 113.8743001 22.5501704, 113.8742344 22.5501673, 113.8741774 22.5501711, 113.8741311 22.5501779, 113.8740872 22.5501902, 113.8740385 22.5502094, 113.8739966 22.5502299, 113.8738123 22.5503542)",,,,,,,
2705654527,2705654592,0,456394360,True,,海天路,secondary,False,121.715,"LINESTRING (113.8810216 22.5503021, 113.8814325 22.5502057, 113.8817514 22.5501233, 113.8820051 22.5500526, 113.8821632 22.5500086)",,,,,,,
2705654528,2705654569,0,456394360,True,,海天路,secondary,False,12.127,"LINESTRING (113.8849457 22.5488303, 113.8850457 22.5487723)",,,,,,,
2705654528,5433542823,0,237904509,True,,甲岸路,secondary,False,45.35,"LINESTRING (113.8849457 22.5488303, 113.8849113 22.5487786, 113.8847147 22.5484827)",,,,,,,
2705654530,2471015809,0,101316262,True,,海天路,secondary,False,274.18100000000004,"LINESTRING (113.8846191 22.549099, 113.8842506 22.5492922, 113.8839281 22.5494481, 113.8835136 22.5496263, 113.8830029 22.5498251, 113.8825914 22.5499668, 113.8823053 22.5500555, 113.8821826 22.5500945)",,,,,,,
2705654531,2705654593,0,264916218,True,,海天路,secondary,False,12.384,"LINESTRING (113.8740051 22.5499901, 113.87412 22.5500239)",,,,,,,
2705654531,5433541976,0,598020619,True,,金科路,secondary,False,40.196,"LINESTRING (113.8740051 22.5499901, 113.8740424 22.5499086, 113.8741561 22.5496566)",,,,,,,
2705654537,2705654590,0,456394360,True,,海天路,secondary,False,219.63299999999998,"LINESTRING (113.8854076 22.5485752, 113.885804 22.5483196, 113.8862192 22.5480338, 113.8866969 22.5476745, 113.8868174 22.5475764, 113.8868469 22.5475393, 113.8868639 22.5474981, 113.8868649 22.5474881, 113.8868683 22.5474526, 113.8868639 22.5473991, 113.886845 22.5473449, 113.8868033 22.5472672)",,,,,,,
2705654545,2705634275,0,264914153,True,,宝兴路,secondary,False,10.268,"LINESTRING (113.8768195 22.5505422, 113.8768225 22.5506345)",,,,,,,
2705654545,5241143604,0,264916218,True,,海天路,secondary,False,39.492000000000004,"LINESTRING (113.8768195 22.5505422, 113.8769075 22.5505488, 113.8770626 22.5505605, 113.877203 22.5505682)",,,,,,,
2705654551,5241143594,0,563883372,True,,宝兴路,secondary,False,74.321,"LINESTRING (113.8767459 22.551627, 113.8767156 22.5509592)",,,,,,,
2705654551,2705634308,0,"[264916216, 1025842566]",False,,,unclassified,True,367.976,"LINESTRING (113.8767459 22.551627, 113.8766164 22.5516325, 113.8764596 22.5516221, 113.8763388 22.5516105, 113.8759706 22.5515778, 113.8757789 22.5515528, 113.8755687 22.5515216, 113.8754144 22.5514934, 113.8752167 22.5514548, 113.8750073 22.5514125, 113.8747036 22.5513424, 113.8743907 22.5512668, 113.8741406 22.5520399, 113.8740932 22.5521838, 113.874047 22.5523174)",,,,,,,
2705654563,2696750318,0,101316262,True,,海天路,secondary,False,50.233000000000004,"LINESTRING (113.8810346 22.5503875, 113.8806767 22.550452, 113.8806515 22.5504565, 113.8805545 22.550474)",,,,,,,
2705654563,5433542496,0,563883397,True,,,secondary_link,False,89.213,"LINESTRING (113.8810346 22.5503875, 113.8808067 22.5504579, 113.8807399 22.5504909, 113.8807002 22.5505192, 113.8806759 22.5505472, 113.8806558 22.5505809, 113.8806434 22.5506148, 113.8806216 22.5506993, 113.8805757 22.550963)",,,,,,,
2705654566,2705654590,0,1184229733,True,,新安西路,primary,False,62.61,"LINESTRING (113.8872445 22.5476558, 113.8868033 22.5472672)",,,,,,,
