osmid,y,x,street_count,ref,highway,geometry
2749881041,22.64578,113.9240029,4,,,POINT (113.9240029 22.64578)
2749881053,22.6460469,113.9245164,4,,,POINT (113.9245164 22.6460469)
2749881079,22.6484168,113.9237604,3,,,POINT (113.9237604 22.6484168)
2749881116,22.6462444,113.9250604,1,,,POINT (113.9250604 22.6462444)
2749881119,22.6476183,113.9250712,3,,,POINT (113.9250712 22.6476183)
2749881126,22.64568,113.9240627,1,,,POINT (113.9240627 22.64568)
2749881129,22.64702,113.9239322,4,,,POINT (113.9239322 22.64702)
2749881167,22.6472883,113.9244357,4,,,POINT (113.9244357 22.6472883)
2749881185,22.64758,113.9223508,3,,,POINT (113.9223508 22.64758)
2749881187,22.6464289,113.9230256,4,,,POINT (113.9230256 22.6464289)
2749881197,22.6481586,113.9232486,3,,,POINT (113.9232486 22.6481586)
2749881201,22.6479091,113.922754,3,,,POINT (113.922754 22.6479091)
2749881209,22.6467545,113.9234223,4,,,POINT (113.9234223 22.6467545)
2749905241,22.6472251,113.9148011,3,,,POINT (113.9148011 22.6472251)
2749905246,22.6472913,113.913675,3,,,POINT (113.913675 22.6472913)
2749905266,22.6465745,113.9137671,3,,,POINT (113.9137671 22.6465745)
2749905286,22.6469429,113.912738,3,,,POINT (113.912738 22.6469429)
2749905289,22.6469904,113.9137723,3,,,POINT (113.9137723 22.6469904)
2749905351,22.6468138,113.9148253,3,,,POINT (113.9148253 22.6468138)
2749905415,22.6476464,113.9145903,3,,,POINT (113.9145903 22.6476464)
2749905438,22.6473792,113.9138985,3,,,POINT (113.9138985 22.6473792)
2749905441,22.6472623,113.9137756,3,,,POINT (113.9137756 22.6472623)
2749920973,22.6460984,113.9168582,3,,,POINT (113.9168582 22.6460984)
2749920975,22.644826,113.9170192,3,,,POINT (113.9170192 22.644826)
2749920990,22.6453749,113.9150517,3,,,POINT (113.9150517 22.6453749)
2749921006,22.6453846,113.9155291,3,,,POINT (113.9155291 22.6453846)
2749921014,22.6463113,113.9175127,1,,,POINT (113.9175127 22.6463113)
2749921027,22.6448242,113.9155452,3,,,POINT (113.9155452 22.6448242)
2749938040,22.6766216,114.063476,4,,,POINT (114.063476 22.6766216)
2749938044,22.6701737,114.0571795,4,,,POINT (114.0571795 22.6701737)
2749938073,22.6757065,114.0536618,4,,,POINT (114.0536618 22.6757065)
2749938079,22.6702268,114.048885,4,,,POINT (114.048885 22.6702268)
2749938087,22.6796727,114.0535786,4,,,POINT (114.0535786 22.6796727)
2749938148,22.6757393,114.0536809,4,,,POINT (114.0536809 22.6757393)
2749938163,22.6743457,114.0510349,3,,,POINT (114.0510349 22.6743457)
2749938179,22.6702747,114.0572705,4,,,POINT (114.0572705 22.6702747)
2749938239,22.6700753,114.0573262,4,,,POINT (114.0573262 22.6700753)
2749938273,22.6793022,114.0595782,3,,,POINT (114.0595782 22.6793022)
2749938308,22.6701773,114.0574168,4,,,POINT (114.0574168 22.6701773)
2751846708,22.6563818,114.1063446,3,,,POINT (114.1063446 22.6563818)
2751848917,22.7166577,114.0665292,4,,,POINT (114.0665292 22.7166577)
2754531691,22.6608523,114.0160809,3,,,POINT (114.0160809 22.6608523)
2754531705,22.6805554,114.013333,1,,,POINT (114.013333 22.6805554)
2754531716,22.6657692,114.0124757,3,,,POINT (114.0124757 22.6657692)
2754531730,22.663809,114.033633,1,,,POINT (114.033633 22.663809)
2754531755,22.6610619,114.0030111,4,,,POINT (114.0030111 22.6610619)
2754531762,22.6579736,114.0210684,4,,,POINT (114.0210684 22.6579736)
2754531788,22.6533482,114.0076178,3,,,POINT (114.0076178 22.6533482)
2754531794,22.657719,114.0251708,4,,,POINT (114.0251708 22.657719)
2754531806,22.6675711,114.0118856,1,,,POINT (114.0118856 22.6675711)
2754531827,22.6586859,114.0088902,3,,,POINT (114.0088902 22.6586859)
2754531847,22.6575348,114.0214741,3,,,POINT (114.0214741 22.6575348)
2754531857,22.6576715,114.006761,3,,,POINT (114.006761 22.6576715)
2754531866,22.6586072,114.0176567,3,,,POINT (114.0176567 22.6586072)
2754531873,22.6567345,114.0238502,3,,,POINT (114.0238502 22.6567345)
2754531876,22.6769495,114.0095505,4,,,POINT (114.0095505 22.6769495)
2754531881,22.6774609,114.0149863,1,,,POINT (114.0149863 22.6774609)
2754531884,22.6585686,114.0174169,4,,,POINT (114.0174169 22.6585686)
2754531891,22.6553657,114.0230388,3,,,POINT (114.0230388 22.6553657)
2754531907,22.6572526,114.0214512,3,,,POINT (114.0214512 22.6572526)
2754531946,22.6591477,114.0239388,3,,,POINT (114.0239388 22.6591477)
2754531947,22.6798427,114.0095779,1,,,POINT (114.0095779 22.6798427)
2754531949,22.6622649,113.9989596,3,,,POINT (113.9989596 22.6622649)
2754531958,22.6668087,114.0088065,1,,,POINT (114.0088065 22.6668087)
2754531961,22.6635915,114.0112365,4,,,POINT (114.0112365 22.6635915)
2754531969,22.6586369,114.0207788,3,,,POINT (114.0207788 22.6586369)
2754531985,22.6728742,114.0022694,4,,,POINT (114.0022694 22.6728742)
2754531994,22.6657791,114.0105767,1,,,POINT (114.0105767 22.6657791)
2754532034,22.6775015,114.0132896,3,,,POINT (114.0132896 22.6775015)
2755507696,22.675898,114.0175606,4,,,POINT (114.0175606 22.675898)
2755507698,22.6817292,114.0226949,1,,,POINT (114.0226949 22.6817292)
2755507700,22.6775986,114.0232757,4,,,POINT (114.0232757 22.6775986)
