Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermutation_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
74,4,1,no_improving_swap,5.2969024,0.2279569,0.5805705,2.2369442,2.8175147,4.30358882957708,53.1917427815925,840,102,2506.10160011288
75,7,1,no_improving_swap,9.983424,0.4225392,0.5823381,4.4726508,5.0549889,4.23240763890225,50.6338196194011,1470,108,2354.2686878239
76,8,1,no_improving_swap,10.671133,0.4736018,0.7902768,4.6770125,5.4672893,4.438158534806,51.2343843901112,1680,114,2485.88749675226
77,11,1,no_improving_swap,14.9930751,0.6708972,0.567975,6.8496347,7.4176097,4.47471379637123,49.4735713022607,2310,108,2140.68694378591
78,7,1,no_improving_swap,9.0235362,0.4098619,0.5856235,4.0166928,4.6023163,4.54214280206467,51.0034669113424,1470,127,2334.93907896266
79,9,1,no_improving_swap,12.1503578,0.6464494,0.5450125,5.4653682,6.0103807,5.32041451487132,49.4666971864812,1890,94,2342.5974770972
80,10,1,no_improving_swap,12.7955959,0.568103,0.5768769,5.8281869,6.4050638,4.43983230198759,50.0567839908105,2100,111,2091.73073631598
81,6,1,no_improving_swap,7.9710385,0.349156,0.567349,3.5026671,4.0700161,4.38030753458285,51.0600481982367,1260,96,2279.88477718361
82,12,1,no_improving_swap,15.4125032,0.6789186,0.5743005,7.0351217,7.6094222,4.40498594673447,49.3717477379015,2520,126,2052.77393020745
83,10,1,no_improving_swap,12.8984724,0.5620491,0.5890526,5.9565262,6.5455788,4.3574857748271,50.7469303109103,2100,120,2377.5960770414
84,7,1,no_improving_swap,9.1008468,0.4005395,0.5681363,4.0660444,4.6341807,4.40112342073487,50.9203242493874,1470,122,2199.67197439036
85,10,1,no_improving_swap,12.7737308,0.5738136,0.5429038,5.7918254,6.3347292,4.49213788034425,49.5918482954095,2100,123,2128.16878645159
86,8,1,no_improving_swap,10.2427777,0.4593807,0.5672591,4.6352983,5.2025574,4.48492306925689,50.7924466621979,1680,115,2187.50271651498
87,8,1,no_improving_swap,10.3312185,0.4596348,0.5391217,4.6714118,5.2105335,4.44898924555705,50.4348398013264,1680,124,2393.68625817577
88,7,1,no_improving_swap,9.009243,0.3991986,0.6460093,3.925249,4.5712583,4.43098937391299,50.7396492690895,1470,121,2174.55859253558
89,8,1,no_improving_swap,10.1901236,0.4569052,0.5608554,4.6134005,5.1742559,4.48380429850723,50.7771652544038,1680,93,2339.48994410632
90,12,1,no_improving_swap,15.4599618,0.7030501,0.5554385,7.1159288,7.6713673,4.54755392733247,49.6208684034394,2520,126,2177.68649076086
91,9,1,no_improving_swap,11.3271757,0.5103715,0.5467524,5.1672621,5.7140145,4.50572599487443,50.4451829064504,1890,127,2065.31542105579
92,8,1,no_improving_swap,11.458042,0.4888136,0.6283638,5.3168528,5.9452166,4.26611806799102,51.886845937552,1680,124,2205.84094186176
93,8,1,no_improving_swap,10.3868835,0.4511504,0.5720442,4.6708516,5.2428958,4.34346259876699,50.4761201952443,1680,127,2118.63956725652
94,13,1,no_improving_swap,16.6725964,0.7411287,0.5398401,7.6206505,8.1604906,4.44519067228185,48.9455295637097,2730,126,2126.73497024199
95,11,1,no_improving_swap,14.1249099,0.6417485,0.625779,6.4090412,7.0348202,4.54338119353243,49.8043545042365,2310,134,2108.63971117518
96,6,1,no_improving_swap,7.7322889,0.3459618,0.5640835,3.3991953,3.9632788,4.47424823974179,51.2562172890358,1260,106,2217.24055058188
97,8,1,no_improving_swap,10.8523531,0.5061457,0.560236,4.8971561,5.4573921,4.66392583558675,50.287638539885,1680,103,2263.35789306938
98,6,1,no_improving_swap,8.132079,0.3875225,0.5876115,3.6252754,4.2128869,4.76535582106372,51.8057793093255,1260,124,2409.73382391295
99,6,1,no_improving_swap,7.6760808,0.3372762,0.5780007,3.3972193,3.97522,4.3938594288898,51.7871046901955,1260,106,2568.62417730961
100,9,1,no_improving_swap,11.9687203,0.5140926,0.6606064,5.3859017,6.0465081,4.2953013113691,50.5192530900735,1890,103,2209.96819127946
101,8,1,no_improving_swap,10.3083385,0.4498429,0.5659415,4.6115714,5.1775129,4.36387396475193,50.2264540497967,1680,117,2191.97428667064
102,4,1,no_improving_swap,5.4193481,0.2273557,0.6068279,2.2659513,2.8727792,4.19525920470029,53.0096821054916,840,99,2681.21615562416
