Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
167,10,0,max_iter_reached,30.6631592,0.599699,1.3908694,14.3141125,15.7049819,1.9557639057622,51.217755475111,2100,139,2335.19372126465
168,7,1,no_improving_swap,22.0792383,0.4257637,1.3981652,10.2158816,11.6140468,1.92834414944468,52.6016642521586,1470,138,2835.48845077691
169,10,0,max_iter_reached,30.9251133,0.6025427,1.4416476,14.5077403,15.9493879,1.94839286166819,51.5742262454379,2100,134,4339.9437323375
170,7,1,no_improving_swap,21.9376482,0.4126326,1.3973783,10.1903654,11.5877437,1.88093361803477,52.8212668667009,1470,129,4358.56120242461
171,9,1,no_improving_swap,27.8746176,0.5712649,1.427033,12.9934349,14.4204679,2.04940892175683,51.7333299668297,1890,126,2810.92982972941
172,7,1,no_improving_swap,22.0821595,0.4280492,1.464088,10.0755851,11.5396731,1.93843903717841,52.2579012256478,1470,168,5421.05639550595
173,10,0,max_iter_reached,30.8022832,0.6001043,1.3986237,14.3727301,15.7713538,1.94824616118068,51.2018985657531,2100,229,3187.44599898731
174,8,1,no_improving_swap,22.8299679,0.4320029,1.3158811,10.5445914,11.8604725,1.8922624065538,51.9513323538225,1680,136,3505.77152969246
175,9,1,no_improving_swap,25.3959371,0.4871175,1.3354521,11.74621,13.0816621,1.91809224476304,51.5108461975203,1890,88,1828.7943594554
176,10,0,max_iter_reached,28.1841928,0.5434704,1.4131739,13.1535312,14.5667051,1.92828087664799,51.6839534960888,2100,201,4308.17164995694
177,10,0,max_iter_reached,28.656964,0.5628216,1.3189149,13.4507209,14.7696358,1.9639959068937,51.5394296478859,2100,183,2456.33992043849
178,10,0,max_iter_reached,28.2914481,0.5503344,1.3160576,13.2321822,14.5482398,1.94523234743859,51.4227470738764,2100,153,2723.16030886826
179,9,1,no_improving_swap,25.9815834,0.506882,1.3262134,11.9976426,13.323856,1.95092805621693,51.2819245650748,1890,140,3536.1662349432
180,9,1,no_improving_swap,25.3041332,0.4856427,1.3045615,11.6950006,12.9995621,1.91922282483085,51.3732756512679,1890,187,2475.48063161654
181,9,1,no_improving_swap,25.7689588,0.487009,1.2868311,12.0481735,13.3350046,1.8899056177621,51.748325198145,1890,103,2348.90286420029
182,10,1,no_improving_swap,28.599359,0.5633351,1.3385687,13.3748647,14.7134334,1.96974729398655,51.4467243828787,2100,131,2424.23379154742
183,10,0,max_iter_reached,28.8025259,0.5737849,1.3110459,13.5401919,14.8512378,1.99213396072322,51.5622756544418,2100,113,2819.042793933
184,10,0,max_iter_reached,28.6742165,0.5631699,1.339432,13.471016,14.810448,1.96402890380632,51.6507504224222,2100,148,2776.34181634492
185,10,0,max_iter_reached,29.3294271,0.5628933,1.4789893,13.9366617,15.415651,1.91921000734447,52.5603549890001,2100,162,2755.59565033018
186,10,0,max_iter_reached,28.3523904,0.5431986,1.3354541,13.2864684,14.6219225,1.91588290206388,51.5720977798048,2100,129,2664.13559717366
187,10,0,max_iter_reached,28.3641321,0.5362928,1.3064892,13.2637014,14.5701906,1.89074285125051,51.3683639204317,2100,162,2281.92089476621
