Location,OuterIters,Converged,StopReason,TimeTotal_s,TimeSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitAll_s,SwapFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts
96,9,1,no_improving_swap,0.4761719,0.0394621,0.0249675,0.2094123,0.2343798,8.28736429008096,49.2216781376642,1890,199
97,15,1,no_improving_swap,0.8677594,0.0727598,0.0325715,0.365193,0.3977645,8.38478960873256,45.8381090426678,3150,128
98,11,1,no_improving_swap,0.556009,0.0457192,0.0292613,0.2467325,0.2759938,8.22274459586086,49.6383691630891,2310,134
99,10,1,no_improving_swap,0.5363596,0.0446552,0.0220574,0.2431463,0.2652037,8.325608416443,49.4451297226711,2100,113
100,8,1,no_improving_swap,0.3921227,0.0316034,0.0270775,0.1657973,0.1928748,8.05956910936296,49.1873589567755,1680,121
101,16,1,no_improving_swap,0.7716667,0.0709165,0.0273893,0.3366635,0.3640528,9.19004279956619,47.1774666446019,3360,132
102,5,1,no_improving_swap,0.2381342,0.0200941,0.0210784,0.0983175,0.1193959,8.43814118257688,50.1380734056679,1050,123
103,7,1,no_improving_swap,0.3357311,0.0270115,0.0200764,0.1447112,0.1647876,8.04557575988641,49.0832097473246,1470,220
104,9,1,no_improving_swap,0.4270498,0.0358192,0.0229426,0.1828927,0.2058353,8.38759320341562,48.199366912243,1890,133
105,7,1,no_improving_swap,0.3443027,0.0293629,0.0214406,0.1509917,0.1724323,8.52822240429715,50.0815997086285,1470,108
106,7,1,no_improving_swap,0.3542651,0.0277225,0.0209885,0.1524606,0.1734491,7.82535451558734,48.9602560342523,1470,138
107,9,1,no_improving_swap,0.4322141,0.0396833,0.0236009,0.1828045,0.2064054,9.18139875584809,47.7553601328601,1890,105
108,10,1,no_improving_swap,0.4727438,0.038907,0.0202226,0.2098706,0.2300932,8.2300391882453,48.6718598953598,2100,116
109,8,1,no_improving_swap,0.369755,0.0311651,0.0208304,0.160461,0.1812914,8.42858108747684,49.0301415802356,1680,113
110,11,1,no_improving_swap,0.5058881,0.0435306,0.0196188,0.221218,0.2408368,8.6047882921144,47.6067335839685,2310,108
111,16,1,no_improving_swap,0.7786198,0.0638229,0.0250514,0.3420499,0.3671013,8.19692743493037,47.1476964752245,3360,138
112,11,1,no_improving_swap,0.5628939,0.0479834,0.0222476,0.2463232,0.2685708,8.52441286004343,47.7125085206999,2310,97
113,9,1,no_improving_swap,0.4640768,0.0346993,0.0302972,0.1983715,0.2286687,7.47705983147617,49.2738917351611,1890,130
114,6,1,no_improving_swap,0.3296682,0.0248004,0.0210271,0.1426322,0.1636593,7.52283659752442,49.6436416979254,1260,101
115,7,1,no_improving_swap,0.3538091,0.0329851,0.0258165,0.1434735,0.16929,9.32285235173431,47.8478365875835,1470,122
116,6,1,no_improving_swap,0.2995181,0.0223199,0.0215794,0.1287059,0.1502853,7.45193696140567,50.1756988976626,1260,88
117,13,1,no_improving_swap,0.7105974,0.0549519,0.0216887,0.3293271,0.3510158,7.73319744766868,49.3972817800909,2730,140
118,7,1,no_improving_swap,0.3806286,0.0307833,0.0324853,0.1615428,0.1940281,8.0874900099467,50.9757017733297,1470,153
119,8,1,no_improving_swap,0.4236077,0.0356268,0.0236746,0.1832663,0.2069409,8.41032870743379,48.8520156739361,1680,88
120,14,1,no_improving_swap,0.6834109,0.0569519,0.0231812,0.2978962,0.3210774,8.33347843881331,46.9816036004108,2940,130
121,7,1,no_improving_swap,0.3258981,0.0277939,0.0200903,0.1359682,0.1560585,8.52840197595506,47.8856734666449,1470,58
122,13,1,no_improving_swap,0.6119331,0.0510041,0.0262618,0.2715515,0.2978133,8.33491438851731,48.6676239608545,2730,164
123,8,1,no_improving_swap,0.4094303,0.0382925,0.0225593,0.1766405,0.1991998,9.35262973942085,48.6529209000897,1680,145
124,14,1,no_improving_swap,0.6682694,0.056967,0.0224296,0.2929265,0.3153561,8.52455611464478,47.1899656036922,2940,166
125,11,1,no_improving_swap,0.5252508,0.0441776,0.020747,0.2330778,0.2538248,8.41076301073697,48.3244956504588,2310,140
126,12,1,no_improving_swap,0.5732252,0.0487544,0.0198058,0.2505584,0.2703642,8.50527855369931,47.1654421333884,2520,133
127,4,1,no_improving_swap,0.2152698,0.0191,0.0211569,0.0876565,0.1088134,8.87258686541261,50.5474525455963,840,85
128,11,1,no_improving_swap,0.4925516,0.0398299,0.0226706,0.2182227,0.2408933,8.08644211083671,48.9072210911507,2310,180
129,16,1,no_improving_swap,0.7713599,0.0595633,0.020237,0.3358107,0.3560477,7.72185590669155,46.1584404374663,3360,146
130,11,1,no_improving_swap,0.5831285,0.0476452,0.0250641,0.2552514,0.2803155,8.17061762544619,48.0709654904536,2310,127
131,6,1,no_improving_swap,0.3121157,0.0312458,0.0241867,0.1316172,0.1558039,10.0109670868848,49.9186359417357,1260,87
132,11,1,no_improving_swap,0.5455592,0.0468142,0.0247053,0.2379271,0.2626324,8.58095693372965,48.1400368649269,2310,144
133,20,0,max_iter_reached,1.0081753,0.0905647,0.0246369,0.4510965,0.4757334,8.98303102644947,47.1875674795841,4200,174
134,14,1,no_improving_swap,0.6523493,0.0543592,0.0217186,0.2935929,0.3153115,8.33283641141333,48.3347648261445,2940,138
135,15,1,no_improving_swap,0.8290419,0.0686421,0.0243113,0.3780892,0.4024005,8.27969008562776,48.5380171979245,3150,144
136,9,1,no_improving_swap,0.4986042,0.0392846,0.0346821,0.2030179,0.2377,7.87891477849565,47.6730841818019,1890,105
137,14,1,no_improving_swap,0.7208087,0.0550945,0.0252029,0.3366941,0.361897,7.64342883208818,50.2070799089967,2940,122
138,17,1,no_improving_swap,0.854197,0.0651231,0.0368831,0.3690974,0.4059805,7.62389706355794,47.5277365759889,3570,152
139,13,1,no_improving_swap,0.5846119,0.0505142,0.0230884,0.2519192,0.2750076,8.6406383448575,47.0410540736513,2730,137
140,12,1,no_improving_swap,0.5687183,0.0474373,0.0277105,0.2486911,0.2764016,8.34108907696482,48.6007923430633,2520,101
141,15,1,no_improving_swap,0.7554251,0.0597741,0.0204547,0.3420287,0.3624834,7.91264415227929,47.9840291247935,3150,181
142,10,1,no_improving_swap,0.5052035,0.0430118,0.0207132,0.2156996,0.2364128,8.51375732749278,46.7955586214268,2100,172
143,8,1,no_improving_swap,0.4205712,0.0315123,0.0256307,0.1887933,0.214424,7.49273844714046,50.9839950999973,1680,131
144,20,0,max_iter_reached,0.9600318,0.0847085,0.0237885,0.4272957,0.4510842,8.82350980457106,46.9863810761269,4200,178
145,14,1,no_improving_swap,0.6634358,0.0552445,0.0226379,0.2924354,0.3150733,8.3270302868793,47.4911513668693,2940,195
146,9,1,no_improving_swap,0.4329742,0.0372649,0.0203159,0.1866764,0.2069923,8.60672529679598,47.8070748788265,1890,111
147,8,1,no_improving_swap,0.3867421,0.032373,0.0207944,0.1683584,0.1891528,8.37069457915236,48.9092860591076,1680,79
148,7,1,no_improving_swap,0.3375024,0.0259202,0.0220184,0.1492277,0.1712461,7.68000464589289,50.739224372923,1470,93
149,9,1,no_improving_swap,0.5372822,0.0495508,0.0262242,0.2146558,0.24088,9.22249052732437,44.8330504900404,1890,125
150,6,1,no_improving_swap,0.3130538,0.0249869,0.0231891,0.120781,0.1439701,7.98166321571564,45.9889322538171,1260,67
151,7,1,no_improving_swap,0.3392383,0.0273436,0.0204244,0.145365,0.1657894,8.06029272048587,48.8710738144838,1470,73
152,10,1,no_improving_swap,0.5884318,0.054094,0.0290728,0.2639683,0.2930411,9.19290901681384,49.8003506948469,2100,146
153,14,1,no_improving_swap,0.7962121,0.0677111,0.0222366,0.344672,0.3669086,8.50415360429715,46.0817664037007,2940,140
154,11,1,no_improving_swap,0.5359019,0.0424655,0.0220091,0.2338912,0.2559003,7.92411820148426,47.7513328465527,2310,141
155,8,1,no_improving_swap,0.4231971,0.034953,0.0253678,0.1851516,0.2105194,8.25927209803659,49.7450006155524,1680,110
156,10,1,no_improving_swap,0.4726847,0.0394026,0.0220391,0.2109485,0.2329876,8.33591609798244,49.290277430177,2100,92
157,8,1,no_improving_swap,0.4322875,0.0339905,0.032817,0.1851592,0.2179762,7.86293843796085,50.4238961339386,1680,199
158,9,1,no_improving_swap,0.4343172,0.034261,0.0205763,0.1976012,0.2181775,7.88847413825656,50.234598123215,1890,112
159,9,1,no_improving_swap,0.4962724,0.0387132,0.0218447,0.2180428,0.2398875,7.80079649805228,48.3378684770703,1890,152
160,10,1,no_improving_swap,0.5195896,0.0404382,0.0221222,0.2273155,0.2494377,7.78271928460462,48.0066768080039,2100,122
161,11,1,no_improving_swap,0.5225368,0.0433786,0.0227635,0.2275257,0.2502892,8.30153971930781,47.8988656875458,2310,118
162,11,1,no_improving_swap,0.4901768,0.0435772,0.0226696,0.214503,0.2371726,8.89009842979105,48.3851132897355,2310,171
163,7,1,no_improving_swap,0.336304,0.0249574,0.0221723,0.1365588,0.1587311,7.42108330558067,47.1986952281269,1470,167
164,12,1,no_improving_swap,0.5190112,0.0444331,0.0197142,0.2299103,0.2496245,8.56110619578152,48.0961682522458,2520,209
165,12,1,no_improving_swap,0.5643661,0.0506504,0.0206422,0.2492751,0.2699173,8.97474175008031,47.8266323934056,2520,118
166,13,1,no_improving_swap,0.6377212,0.0536583,0.020036,0.2835149,0.3035509,8.41406871843056,47.5993114232364,2730,130
167,8,1,no_improving_swap,0.3951852,0.0319307,0.0207727,0.1655153,0.186288,8.07993315539145,47.139417164408,1680,148
168,20,1,no_improving_swap,1.0004419,0.0788437,0.0201845,0.435541,0.4557255,7.8808874358421,45.5524203854317,4200,168
169,11,1,no_improving_swap,0.5436384,0.0447702,0.0225738,0.2376903,0.2602641,8.23529022232425,47.8744878948948,2310,153
170,19,1,no_improving_swap,1.0417093,0.0835167,0.0230822,0.4588855,0.4819677,8.01727506896598,46.2670055839955,3990,122
171,13,1,no_improving_swap,0.853079,0.0644287,0.0300605,0.3865761,0.4166366,7.5524892770775,48.839157920896,2730,175
172,10,1,no_improving_swap,0.6093805,0.0483593,0.0233306,0.2725617,0.2958923,7.93581350240121,48.5562468769513,2100,93
173,12,1,no_improving_swap,0.6837682,0.0594854,0.0202145,0.2998307,0.3200452,8.69964411916202,46.8060959839899,2520,99
174,15,1,no_improving_swap,0.6838848,0.0583065,0.0275419,0.2958092,0.3233511,8.52577802577276,47.2815158342458,3150,173
