osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
11563329827,22.5174013,113.8820583,3,,,POINT (113.8820583 22.5174013),14,14,1414,22.5172878095,113.8816617855,0.04263934607943926
6020941055,22.5172942,113.8897063,3,,,POINT (113.8897063 22.5172942),14,15,1415,22.5172878095,113.8901123845,0.04171818730742567
8709912229,22.5172741,113.8995729,3,,,POINT (113.8995729 22.5172741),14,16,1416,22.5172878095,113.8985629835,0.10374768004532892
2423992182,22.5168301,113.9064095,3,,,POINT (113.9064095 22.5168301),14,17,1417,22.5172878095,113.9070135825,0.08025286458174831
1169618004,22.5171228,113.9164589,1,,,POINT (113.9164589 22.5171228),14,18,1418,22.5172878095,113.9154641815,0.10380980456005215
2613104782,22.517034,113.9241434,3,,,POINT (113.9241434 22.517034),14,19,1419,22.5172878095,113.9239147805,0.03671466520320238
2411120890,22.5168535,113.9318881,3,,,POINT (113.9318881 22.5168535),14,20,1420,22.5172878095,113.9323653795,0.06881632450335444
7556620942,22.5175824,113.9400207,3,,,POINT (113.9400207 22.5175824),14,21,1421,22.5172878095,113.9408159785,0.08801221005904557
2408443258,22.5177424,113.9483756,3,,,POINT (113.9483756 22.5177424),14,22,1422,22.5172878095,113.9492665775,0.10455081735974016
2399038492,22.5182707,114.033509,3,,,POINT (114.033509 22.5182707),14,32,1432,22.5172878095,114.03377256750001,0.11259566574738326
2042407636,22.5177522,114.0419238,3,,,POINT (114.0419238 22.5177522),14,33,1433,22.5172878095,114.04222316650001,0.06010030392030615
7626252440,22.5177271,114.0507544,4,,,POINT (114.0507544 22.5177271),14,34,1434,22.5172878095,114.05067376550001,0.049544106672384645
500020956,22.5173835,114.0596056,3,,,POINT (114.0596056 22.5173835),14,35,1435,22.5172878095,114.05912436450001,0.05056368409793657
3084645101,22.5184623,114.0659735,1,,,POINT (114.0659735 22.5184623),14,36,1436,22.5172878095,114.06757496350001,0.21003652791415073
7223736340,22.5209909,113.8734618,3,,,POINT (113.8734618 22.5209909),15,13,1513,22.5210943205,113.8732111865,0.028193718443467315
7223736644,22.5213577,113.8811708,2,,,POINT (113.8811708 22.5213577),15,14,1514,22.5210943205,113.8816617855,0.05831842001996286
6020941019,22.5204259,113.8916179,3,,,POINT (113.8916179 22.5204259),15,15,1515,22.5210943205,113.8901123845,0.17157378823938205
5643323684,22.5208943,113.8988411,3,,,POINT (113.8988411 22.5208943),15,16,1516,22.5210943205,113.8985629835,0.03620406271243944
2423992226,22.5202605,113.9075087,1,,,POINT (113.9075087 22.5202605),15,17,1517,22.5210943205,113.9070135825,0.10574837858060568
2428194084,22.5201558,113.9161484,3,,,POINT (113.9161484 22.5201558),15,18,1518,22.5210943205,113.9154641815,0.12581728165338082
9655904887,22.5215869,113.923581,3,,,POINT (113.923581 22.5215869),15,19,1519,22.5210943205,113.9239147805,0.06461746627262319
