osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
277935793,22.6311037,113.8424325,3,,,POINT (113.8424325 22.6311037),44,9,4409
277939196,22.5664321,113.9289224,3,,,POINT (113.9289224 22.5664321),27,20,2720
277939300,22.5664388,113.9290845,3,,,POINT (113.9290845 22.5664388),27,20,2720
277939450,22.5648109,113.9291299,3,,,POINT (113.9291299 22.5648109),26,20,2620
278217284,22.5562888,114.0909169,3,,,POINT (114.0909169 22.5562888),24,39,2439
278217359,22.5573691,114.0864861,3,,,POINT (114.0864861 22.5573691),25,38,2538
278217366,22.5552066,114.0888855,3,,,POINT (114.0888855 22.5552066),24,39,2439
278218851,22.5233987,113.957409,3,,,POINT (113.957409 22.5233987),16,23,1623
278218852,22.52348,113.9565907,3,,,POINT (113.9565907 22.52348),16,23,1623
278218868,22.5240979,113.9490457,3,,,POINT (113.9490457 22.5240979),16,22,1622
278218869,22.5235555,113.9489667,3,,,POINT (113.9489667 22.5235555),16,22,1622
278218882,22.5233568,113.950695,3,,,POINT (113.950695 22.5233568),16,22,1622
278219211,22.5301098,113.9498905,4,,,POINT (113.9498905 22.5301098),17,22,1722
278219217,22.5413711,113.9539736,3,,,POINT (113.9539736 22.5413711),20,23,2023
278219237,22.5565768,113.9540359,3,,,POINT (113.9540359 22.5565768),24,23,2423
278219239,22.5565525,113.9516459,3,,,POINT (113.9516459 22.5565525),24,22,2422
278220530,22.5434546,113.951248,3,,,POINT (113.951248 22.5434546),21,22,2122
278221157,22.5427938,113.9355131,3,,,POINT (113.9355131 22.5427938),21,20,2120
278221796,22.5423484,113.9307635,3,,,POINT (113.9307635 22.5423484),21,20,2120
278221801,22.5425222,113.928761,3,,,POINT (113.928761 22.5425222),21,20,2120
278221808,22.542366,113.930366,3,,,POINT (113.930366 22.542366),21,20,2120
278221868,22.5424234,113.9312725,3,,,POINT (113.9312725 22.5424234),21,20,2120
278222025,22.5424733,113.9299598,3,,,POINT (113.9299598 22.5424733),21,20,2120
278222580,22.5431495,113.9596067,4,,,POINT (113.9596067 22.5431495),21,23,2123
278222583,22.5425958,113.9595298,3,,,POINT (113.9595298 22.5425958),21,23,2123
278222584,22.538638,113.9589797,3,,,POINT (113.9589797 22.538638),20,23,2023
278224666,22.5407434,114.0817385,3,,,POINT (114.0817385 22.5407434),20,38,2038
278242187,22.5414692,114.091143,5,,,POINT (114.091143 22.5414692),20,39,2039
278376456,22.5282479,113.9776265,4,,,POINT (113.9776265 22.5282479),17,25,1725
278376550,22.5356781,113.9406294,4,,,POINT (113.9406294 22.5356781),19,21,1921
278376552,22.5295713,113.9735247,4,,,POINT (113.9735247 22.5295713),17,25,1725
278376560,22.534593,113.9591308,4,,,POINT (113.9591308 22.534593),19,23,1923
278376578,22.5425248,113.9405704,3,,,POINT (113.9405704 22.5425248),21,21,2121
278376591,22.5461772,113.9405327,4,,traffic_signals,POINT (113.9405327 22.5461772),22,21,2221
278376793,22.5430912,113.939481,3,,,POINT (113.939481 22.5430912),21,21,2121
278657148,22.5382243,114.0991829,3,,,POINT (114.0991829 22.5382243),20,40,2040
278657762,22.543433,114.099483,4,,,POINT (114.099483 22.543433),21,40,2140
278659481,22.5444302,114.0397861,4,,,POINT (114.0397861 22.5444302),21,33,2133
278659670,22.553516,114.033416,4,,,POINT (114.033416 22.553516),24,32,2432
278659724,22.5500899,113.9796876,3,,,POINT (113.9796876 22.5500899),23,26,2326
278659728,22.5463916,113.9847278,3,,,POINT (113.9847278 22.5463916),22,26,2226
278659737,22.5438231,113.9900346,3,,,POINT (113.9900346 22.5438231),21,27,2127
278660185,22.5561499,113.9555586,3,,,POINT (113.9555586 22.5561499),24,23,2423
278660190,22.5562089,113.9596035,3,,,POINT (113.9596035 22.5562089),24,23,2423
278660193,22.556676,113.964036,4,,,POINT (113.964036 22.556676),24,24,2424
278660437,22.5549399,113.940379,4,,,POINT (113.940379 22.5549399),24,21,2421
278660512,22.5427161,113.9337243,3,,,POINT (113.9337243 22.5427161),21,20,2120
278660698,22.5457902,113.9308737,4,,traffic_signals,POINT (113.9308737 22.5457902),21,20,2120
278660702,22.545525,113.9341351,3,,,POINT (113.9341351 22.545525),21,20,2120
278660839,22.5568884,113.9707424,3,,,POINT (113.9707424 22.5568884),24,25,2425
278869509,22.5468287,113.9023024,3,,,POINT (113.9023024 22.5468287),22,16,2216
278869516,22.5492327,113.9054308,4,,,POINT (113.9054308 22.5492327),22,17,2217
278935261,22.5611423,113.983475,3,,,POINT (113.983475 22.5611423),26,26,2626
278936235,22.5609594,113.887541,3,,,POINT (113.887541 22.5609594),25,15,2515
278936241,22.5714716,113.8759824,4,,,POINT (113.8759824 22.5714716),28,13,2813
278936243,22.5723624,113.8748801,4,,,POINT (113.8748801 22.5723624),28,13,2813
278936298,22.5807454,113.8636865,4,,,POINT (113.8636865 22.5807454),31,12,3112
278936651,22.588069,113.8778582,3,,,POINT (113.8778582 22.588069),33,14,3314
279073591,22.5514385,113.9087632,3,2B,motorway_junction,POINT (113.9087632 22.5514385),23,17,2317
279073802,22.546349,113.9046651,3,,,POINT (113.9046651 22.546349),22,17,2217
279073806,22.549266,113.9057097,3,2A,motorway_junction,POINT (113.9057097 22.549266),22,17,2217
279073848,22.5314773,113.9047575,5,,,POINT (113.9047575 22.5314773),18,17,1817
279073851,22.5259754,113.904887,3,,,POINT (113.904887 22.5259754),16,17,1617
279073920,22.5263426,113.905045,3,,,POINT (113.905045 22.5263426),16,17,1617
279077620,22.5261345,113.9126736,3,,,POINT (113.9126736 22.5261345),16,18,1618
279077621,22.5272236,113.9159224,3,,,POINT (113.9159224 22.5272236),17,18,1718
279077687,22.526025,113.9104988,3,,,POINT (113.9104988 22.526025),16,17,1617
279077710,22.5354385,113.919993,4,,,POINT (113.919993 22.5354385),19,19,1919
279077745,22.5432435,113.9191287,4,,,POINT (113.9191287 22.5432435),21,18,2118
279077746,22.5430722,113.919143,4,,,POINT (113.919143 22.5430722),21,18,2118
279077760,22.5458944,113.9271348,3,,,POINT (113.9271348 22.5458944),22,19,2219
279077762,22.5431211,113.9249835,3,,,POINT (113.9249835 22.5431211),21,19,2119
279077946,22.5567717,114.0438439,4,,,POINT (114.0438439 22.5567717),24,33,2433
279077966,22.5568907,114.0624934,3,,,POINT (114.0624934 22.5568907),24,35,2435
279961518,22.6197972,114.0083035,3,,,POINT (114.0083035 22.6197972),41,29,4129
279961532,22.5943318,114.0103691,3,3,motorway_junction,POINT (114.0103691 22.5943318),34,29,3429
279961537,22.565275,114.0135251,3,0,motorway_junction,POINT (114.0135251 22.565275),27,30,2730
294966471,22.5082536,113.9459821,3,,,POINT (113.9459821 22.5082536),12,22,1222
294966475,22.5081663,113.9348949,3,,,POINT (113.9348949 22.5081663),12,20,1220
294966482,22.5074784,113.9272377,3,,,POINT (113.9272377 22.5074784),11,19,1119
294966493,22.4932114,113.9300896,5,,,POINT (113.9300896 22.4932114),8,20,820
294966576,22.4861306,113.9079124,3,,,POINT (113.9079124 22.4861306),6,17,617
294966588,22.4809686,113.8994872,4,,,POINT (113.8994872 22.4809686),4,16,416
