Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
177,40.908365783,-73.827991286,40.908365783,-73.822447004,40.904224566,-73.827991286,40.904224566,-73.822447004
178,40.908365783,-73.822447004,40.908365783,-73.816902722,40.904224566,-73.822447004,40.904224566,-73.816902722
179,40.908365783,-73.816902722,40.908365783,-73.81135843999999,40.904224566,-73.816902722,40.904224566,-73.81135843999999
180,40.908365783,-73.81135844,40.908365783,-73.805814158,40.904224566,-73.81135844,40.904224566,-73.805814158
181,40.908365783,-73.805814158,40.908365783,-73.800269876,40.904224566,-73.805814158,40.904224566,-73.800269876
182,40.908365783,-73.800269876,40.908365783,-73.794725594,40.904224566,-73.800269876,40.904224566,-73.794725594
183,40.908365783,-73.794725594,40.908365783,-73.789181312,40.904224566,-73.794725594,40.904224566,-73.789181312
184,40.908365783,-73.789181312,40.908365783,-73.78363703,40.904224566,-73.789181312,40.904224566,-73.78363703
185,40.908365783,-73.78363703,40.908365783,-73.77809274799999,40.904224566,-73.78363703,40.904224566,-73.77809274799999
186,40.908365783,-73.778092748,40.908365783,-73.772548466,40.904224566,-73.778092748,40.904224566,-73.772548466
187,40.908365783,-73.772548466,40.908365783,-73.767004184,40.904224566,-73.772548466,40.904224566,-73.767004184
188,40.908365783,-73.767004184,40.908365783,-73.761459902,40.904224566,-73.767004184,40.904224566,-73.761459902
189,40.908365783,-73.761459902,40.908365783,-73.75591562,40.904224566,-73.761459902,40.904224566,-73.75591562
190,40.908365783,-73.75591562,40.908365783,-73.750371338,40.904224566,-73.75591562,40.904224566,-73.750371338
191,40.908365783,-73.750371338,40.908365783,-73.74482705599999,40.904224566,-73.750371338,40.904224566,-73.74482705599999
192,40.908365783,-73.744827056,40.908365783,-73.739282774,40.904224566,-73.744827056,40.904224566,-73.739282774
193,40.908365783,-73.739282774,40.908365783,-73.733738492,40.904224566,-73.739282774,40.904224566,-73.733738492
194,40.908365783,-73.733738492,40.908365783,-73.72819421,40.904224566,-73.733738492,40.904224566,-73.72819421
195,40.908365783,-73.72819421,40.908365783,-73.722649928,40.904224566,-73.72819421,40.904224566,-73.722649928
196,40.908365783,-73.722649928,40.908365783,-73.717105646,40.904224566,-73.722649928,40.904224566,-73.717105646
197,40.908365783,-73.717105646,40.908365783,-73.71156136399999,40.904224566,-73.717105646,40.904224566,-73.71156136399999
198,40.908365783,-73.711561364,40.908365783,-73.706017082,40.904224566,-73.711561364,40.904224566,-73.706017082
199,40.908365783,-73.706017082,40.908365783,-73.7004728,40.904224566,-73.706017082,40.904224566,-73.7004728
200,40.904224565999996,-74.254901,40.904224565999996,-74.249356718,40.900083349,-74.254901,40.900083349,-74.249356718
201,40.904224565999996,-74.249356718,40.904224565999996,-74.243812436,40.900083349,-74.249356718,40.900083349,-74.243812436
202,40.904224565999996,-74.243812436,40.904224565999996,-74.238268154,40.900083349,-74.243812436,40.900083349,-74.238268154
203,40.904224565999996,-74.23826815400001,40.904224565999996,-74.23272387200001,40.900083349,-74.23826815400001,40.900083349,-74.23272387200001
204,40.904224565999996,-74.23272387200001,40.904224565999996,-74.22717959,40.900083349,-74.23272387200001,40.900083349,-74.22717959
205,40.904224565999996,-74.22717959,40.904224565999996,-74.221635308,40.900083349,-74.22717959,40.900083349,-74.221635308
206,40.904224565999996,-74.221635308,40.904224565999996,-74.216091026,40.900083349,-74.221635308,40.900083349,-74.216091026
207,40.904224565999996,-74.216091026,40.904224565999996,-74.210546744,40.900083349,-74.216091026,40.900083349,-74.210546744
208,40.904224565999996,-74.210546744,40.904224565999996,-74.205002462,40.900083349,-74.210546744,40.900083349,-74.205002462
