osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
42927174,40.76499,-73.797693,,,4,POINT (-73.797693 40.76499),64,82,6482,40.765493796499996,-73.79749773500001,0.05838347425611777
42904735,40.764546,-73.792072,,,4,POINT (-73.792072 40.764546),64,83,6483,40.765493796499996,-73.791953453,0.10586200087630565
42816694,40.765244,-73.786004,,,4,POINT (-73.786004 40.765244),64,84,6484,40.765493796499996,-73.786409171,0.04399849430914727
42803446,40.765622,-73.781135,,,3,POINT (-73.781135 40.765622),64,85,6485,40.765493796499996,-73.780864889,0.026845827522824283
42876667,40.765775,-73.775143,,,4,POINT (-73.775143 40.765775),64,86,6486,40.765493796499996,-73.77532060700001,0.034661848075855824
42893019,40.765662,-73.769961,,,4,POINT (-73.769961 40.765662),64,87,6487,40.765493796499996,-73.76977632500001,0.02432506462126045
42849543,40.765453,-73.76414,,,4,POINT (-73.76414 40.765453),64,88,6488,40.765493796499996,-73.764232043,0.008981468795417788
277672005,40.7647567,-73.758627,,,3,POINT (-73.758627 40.7647567),64,89,6489,40.765493796499996,-73.758687761,0.08212097916525213
7761381315,40.7645226,-73.747072,,,3,POINT (-73.747072 40.7645226),64,91,6491,40.765493796499996,-73.747599197,0.1167631341649954
7761381299,40.7655261,-73.7421955,,traffic_signals,4,POINT (-73.7421955 40.7655261),64,92,6492,40.765493796499996,-73.74205491500001,0.012372632426246937
42884656,40.765542,-73.737066,,,3,POINT (-73.737066 40.765542),64,93,6493,40.765493796499996,-73.73651063300001,0.04707786531544132
42836139,40.765433,-73.730971,,,3,POINT (-73.730971 40.765433),64,94,6494,40.765493796499996,-73.730966351,0.006771590781252582
1399361037,40.7658002,-73.7247725,,,3,POINT (-73.7247725 40.7658002),64,95,6495,40.765493796499996,-73.725422069,0.06444726181193028
42888967,40.7641061,-73.7208873,,,3,POINT (-73.7208873 40.7641061),64,96,6496,40.765493796499996,-73.719877787,0.1761770173703561
2348991703,40.7690007,-73.9953043,,,3,POINT (-73.9953043 40.7690007),65,46,6546,40.7696350135,-73.99709188700001,0.1662422435654891
42430742,40.7696336,-73.9918836,,traffic_signals,4,POINT (-73.9918836 40.7696336),65,47,6547,40.7696350135,-73.99154760500001,0.028295417064795807
42440934,40.769231,-73.9847685,,traffic_signals,3,POINT (-73.9847685 40.769231),65,48,6548,40.7696350135,-73.986003323,0.11327692569326947
5706568625,40.7699178,-73.9805837,,traffic_signals,3,POINT (-73.9805837 40.7699178),65,49,6549,40.7696350135,-73.980459041,0.033150507099601614
42457788,40.7688761,-73.9723598,,,3,POINT (-73.9723598 40.7688761),65,50,6550,40.7696350135,-73.97491475900001,0.23111762906521385
42437423,40.7692758,-73.9693618,,traffic_signals,3,POINT (-73.9693618 40.7692758),65,51,6551,40.7696350135,-73.96937047700001,0.039949402078862724
42429685,40.7697588,-73.9646978,,traffic_signals,4,POINT (-73.9646978 40.7697588),65,52,6552,40.7696350135,-73.96382619500001,0.0746794168734198
42438802,40.7694904,-73.9578623,,traffic_signals,4,POINT (-73.9578623 40.7694904),65,53,6553,40.7696350135,-73.95828191300001,0.03882342078785812
42428014,40.7694509,-73.9518664,,traffic_signals,4,POINT (-73.9518664 40.7694509),65,54,6554,40.7696350135,-73.952737631,0.07617139150470605
42450641,40.7703078,-73.9477641,,,2,POINT (-73.9477641 40.7703078),65,55,6555,40.7696350135,-73.947193349,0.08891998148052942
593416866,40.7697013,-73.9412786,,,2,POINT (-73.9412786 40.7697013),65,56,6556,40.7696350135,-73.94164906700001,0.03205680726649438
42826940,40.769526,-73.935227,,,3,POINT (-73.935227 40.769526),65,57,6557,40.7696350135,-73.93610478500001,0.07490782352396928
42810473,40.7700484,-73.9305722,,,4,POINT (-73.9305722 40.7700484),65,58,6558,40.7696350135,-73.93056050300001,0.04597703460145966
42818499,40.769259,-73.9245977,,,3,POINT (-73.9245977 40.769259),65,59,6559,40.7696350135,-73.925016221,0.05468398721523709
42935204,40.770309,-73.918998,,,3,POINT (-73.918998 40.770309),65,60,6560,40.7696350135,-73.919471939,0.08490879761057332
7746623259,40.76934,-73.9138905,,,3,POINT (-73.9138905 40.76934),65,61,6561,40.7696350135,-73.913927657,0.03295290458943439
42932544,40.7698508,-73.9083462,,,4,POINT (-73.9083462 40.7698508),65,62,6562,40.7696350135,-73.90838337500001,0.024197729833359896
42833618,40.7703255,-73.9024732,,traffic_signals,4,POINT (-73.9024732 40.7703255),65,63,6563,40.7696350135,-73.90283909300001,0.08273070423195752
3778381087,40.7701345,-73.8973903,,traffic_signals,5,POINT (-73.8973903 40.7701345),65,64,6564,40.7696350135,-73.89729481100001,0.05611947276758915
4960159923,40.7687426,-73.8915555,,,5,POINT (-73.8915555 40.7687426),65,65,6565,40.7696350135,-73.891750529,0.10058184852670558
6585868127,40.7693612,-73.8856481,,,3,POINT (-73.8856481 40.7693612),65,66,6566,40.7696350135,-73.886206247,0.05600256111444853
42874557,40.7694267,-73.8802893,,,3,POINT (-73.8802893 40.7694267),65,67,6567,40.7696350135,-73.880661965,0.039005671234322935
42846314,40.7698983,-73.8760203,,,3,POINT (-73.8760203 40.7698983),65,68,6568,40.7696350135,-73.87511768300001,0.08145451206815564
2087152374,40.7696059,-73.8692574,,,3,POINT (-73.8692574 40.7696059),65,69,6569,40.7696350135,-73.86957340100001,0.026807426229554062
10578059100,40.7695926,-73.8641678,,,3,POINT (-73.8641678 40.7695926),65,70,6570,40.7696350135,-73.86402911900001,0.012594988730914594
274191399,40.7696596,-73.8471764,,,1,POINT (-73.8471764 40.7696596),65,73,6573,40.7696350135,-73.847396273,0.0187167939153518
8081767229,40.7696366,-73.8421282,,,3,POINT (-73.8421282 40.7696366),65,74,6574,40.7696350135,-73.84185199100001,0.0232609201558111
42791440,40.7693205,-73.8357316,,,3,POINT (-73.8357316 40.7693205),65,75,6575,40.7696350135,-73.83630770900001,0.05980664623260754
42868348,40.769332,-73.830186,,,3,POINT (-73.830186 40.769332),65,76,6576,40.7696350135,-73.83076342700001,0.059159197743034034
42835782,40.769286,-73.824443,,traffic_signals,4,POINT (-73.824443 40.769286),65,77,6577,40.7696350135,-73.825219145,0.07601447018400842
42835786,40.770026,-73.819215,,,3,POINT (-73.819215 40.770026),65,78,6578,40.7696350135,-73.819674863,0.058222407097830296
42810148,40.77019,-73.81383,,,4,POINT (-73.81383 40.77019),65,79,6579,40.7696350135,-73.814130581,0.06670126074816565
42835816,40.769781,-73.808355,,,3,POINT (-73.808355 40.769781),65,80,6580,40.7696350135,-73.80858629900001,0.025355690061998736
42834366,40.769339,-73.802761,,,4,POINT (-73.802761 40.769339),65,81,6581,40.7696350135,-73.80304201700001,0.04053951090758292
42835859,40.768897,-73.79716,,,4,POINT (-73.79716 40.768897),65,82,6582,40.7696350135,-73.79749773500001,0.08685230587511042
7767895268,40.7695597,-73.7923502,,traffic_signals,5,POINT (-73.7923502 40.7695597),65,83,6583,40.7696350135,-73.791953453,0.03444462192913382
