osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index
5175611186,40.8532609,-73.8429863,,,3,POINT (-73.8429863 40.8532609),85,74,8574
5175611189,40.8529476,-73.8431228,,,3,POINT (-73.8431228 40.8529476),85,74,8574
5175623825,40.8673341,-73.8428951,,,3,POINT (-73.8428951 40.8673341),89,74,8974
5176477257,40.698873,-73.9738008,,,3,POINT (-73.9738008 40.698873),48,50,4850
5176490242,40.716795,-73.921538,,,3,POINT (-73.921538 40.716795),52,60,5260
5176490244,40.720153,-73.923159,,,3,POINT (-73.923159 40.720153),53,59,5359
5176490258,40.7229563,-73.9205284,,,3,POINT (-73.9205284 40.7229563),54,60,5460
5177091565,40.7299095,-73.9239737,,,3,POINT (-73.9239737 40.7299095),55,59,5559
5177091566,40.7300602,-73.9239158,,,3,POINT (-73.9239158 40.7300602),55,59,5559
5177091567,40.7304801,-73.9258636,,,1,POINT (-73.9258636 40.7304801),56,59,5659
5177396175,40.8232691,-73.8826151,,crossing,3,POINT (-73.8826151 40.8232691),78,67,7867
5177463521,40.8333669,-73.8597383,,,3,POINT (-73.8597383 40.8333669),80,71,8071
5177463532,40.8373882,-73.8604464,,,3,POINT (-73.8604464 40.8373882),81,71,8171
5177463541,40.8345841,-73.8610958,,traffic_signals,4,POINT (-73.8610958 40.8345841),81,71,8171
5177463542,40.8355186,-73.861211,,traffic_signals,4,POINT (-73.861211 40.8355186),81,71,8171
5179165691,40.8846169,-73.8347421,,,1,POINT (-73.8347421 40.8846169),93,75,9375
5186081982,40.7238339,-73.9373662,,crossing,3,POINT (-73.9373662 40.7238339),54,57,5457
