Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
2372,51.595161837,0.08375190399999999,51.595161837,0.09199608599999999,51.591230056,0.08375190399999999,51.591230056,0.09199608599999999
2373,51.595161837,0.09199608599999998,51.595161837,0.10024026799999998,51.591230056,0.09199608599999998,51.591230056,0.10024026799999998
2374,51.595161837,0.10024026799999997,51.595161837,0.10848444999999997,51.591230056,0.10024026799999997,51.591230056,0.10848444999999997
2375,51.595161837,0.10848444999999995,51.595161837,0.11672863199999996,51.591230056,0.10848444999999995,51.591230056,0.11672863199999996
2376,51.595161837,0.11672863199999994,51.595161837,0.12497281399999995,51.591230056,0.11672863199999994,51.591230056,0.12497281399999995
2377,51.595161837,0.12497281399999993,51.595161837,0.13321699599999992,51.591230056,0.12497281399999993,51.591230056,0.13321699599999992
2378,51.595161837,0.13321699599999992,51.595161837,0.1414611779999999,51.591230056,0.13321699599999992,51.591230056,0.1414611779999999
2379,51.595161837,0.1414611779999999,51.595161837,0.1497053599999999,51.591230056,0.1414611779999999,51.591230056,0.1497053599999999
2380,51.595161837,0.14970536,51.595161837,0.157949542,51.591230056,0.14970536,51.591230056,0.157949542
2381,51.595161837,0.157949542,51.595161837,0.166193724,51.591230056,0.157949542,51.591230056,0.166193724
2382,51.595161837,0.166193724,51.595161837,0.17443790599999998,51.591230056,0.166193724,51.591230056,0.17443790599999998
2383,51.595161837,0.17443790599999998,51.595161837,0.18268208799999996,51.591230056,0.17443790599999998,51.591230056,0.18268208799999996
2384,51.595161837,0.18268208799999996,51.595161837,0.19092626999999995,51.591230056,0.18268208799999996,51.591230056,0.19092626999999995
2385,51.595161837,0.19092626999999995,51.595161837,0.19917045199999994,51.591230056,0.19092626999999995,51.591230056,0.19917045199999994
2386,51.595161837,0.19917045199999994,51.595161837,0.20741463399999993,51.591230056,0.19917045199999994,51.591230056,0.20741463399999993
